pr_gene_symbol	DER001_HA1E_96H_X1_F1B6_DUO52HI53LO:C01	DER001_HA1E_96H_X1_F1B6_DUO52HI53LO:G03	DER001_HA1E_96H_X1_F1B6_DUO52HI53LO:I02	DER001_HA1E_96H_X1_F1B6_DUO52HI53LO:L18	DER001_HA1E_96H_X1_F1B6_DUO52HI53LO:M24	DER001_HA1E_96H_X1_F1B6_DUO52HI53LO:N02	DER001_HA1E_96H_X1_F1B6_DUO52HI53LO:N03	DER001_HA1E_96H_X2_F1B6_DUO52HI53LO:G03	DER001_HA1E_96H_X2_F1B6_DUO52HI53LO:I02	DER001_HA1E_96H_X2_F1B6_DUO52HI53LO:L18	DER001_HA1E_96H_X2_F1B6_DUO52HI53LO:M24	DER001_HA1E_96H_X2_F1B6_DUO52HI53LO:N02	DER001_HA1E_96H_X2_F1B6_DUO52HI53LO:N03	DER001_HA1E_96H_X3_F1B6_DUO52HI53LO:B09	DER001_HA1E_96H_X3_F1B6_DUO52HI53LO:G03	DER001_HA1E_96H_X3_F1B6_DUO52HI53LO:I02	DER001_HA1E_96H_X3_F1B6_DUO52HI53LO:L18	DER001_HA1E_96H_X3_F1B6_DUO52HI53LO:M24	DER001_HA1E_96H_X3_F1B6_DUO52HI53LO:N02	DER001_HA1E_96H_X3_F1B6_DUO52HI53LO:N03	KDA007_HA1E_96H_X3_B6_DUO52HI53LO:B10	KDA007_HA1E_96H_X3_B6_DUO52HI53LO:G16	KDA007_HA1E_96H_X3_B6_DUO52HI53LO:G19	KDA007_HA1E_96H_X3_B6_DUO52HI53LO:J21	mean
AARS	11.02045	10.3501	10.89595	10.311399	10.558451	10.4626	10.821975	11.2261505	11.49165	11.158251	11.4786	11.352051	11.372275	10.42585	10.91375	11.351	10.43715	10.8331	10.8025	10.6664	10.3777	10.1271	10.0206	10.2774	10.780518
ABCB6	8.19335	7.91965	7.67275	7.9913	7.67275	8.469049	7.424	8.0548	8.77025	8.6601	9.19385	8.85795	8.271251	8.0323	9.15005	8.3874	8.4775505	8.175651	8.2838	7.755925	7.5379	8.4152	8.4382	7.8798003	8.236868
ABCC5	5.41695	4.6744003	5.11755	4.454775	5.28475	5.73135	4.9167004	5.5690002	5.420025	5.4880247	5.68535	5.1759996	5.6165752	5.3717003	6.4778	5.598	4.8398504	5.878225	5.317325	5.0866003	4.5814	4.631	4.4511	5.0125	5.2415395
ABCF1	12.27765	12.36875	12.051849	11.898451	12.20065	11.5695	11.99015	12.568649	12.1848	12.82555	12.8388	12.6749	12.70275	11.862551	12.448874	11.86455	11.8954	12.512899	12.041651	12.1158	10.04025	11.1347	10.175	10.3181	11.940093
ABCF3	6.886525	8.336	9.46325	8.98955	9.25215	9.006225	8.486851	10.04685	10.026251	9.78895	7.75085	9.8715	9.7232	9.391649	8.567675	9.30755	9.39385	8.79285	9.4649	8.7603	8.096599	7.0101	8.0433	8.02625	8.853465
ABL1	11.268801	9.8681755	10.317499	9.97515	6.91745	9.76035	10.3152	10.99775	10.906851	11.328	11.12105	10.99775	10.4024	10.3025	10.267099	9.91675	10.3949	10.4503	10.008075	10.349225	9.2567	10.025499	9.66585	10.3274	10.214197
ACAA1	8.65325	9.294575	8.471675	10.1042	8.55835	8.466949	8.0515	9.0387	7.56035	7.981425	8.0522995	9.4076	8.8981	8.813	7.87525	8.11335	8.4669	8.0515	10.140125	10.051849	8.06535	7.3114	7.4987	7.6205	8.522787
ACBD3	4.263	6.0103	6.60635	6.14095	6.261125	6.22925	5.32815	7.2955003	7.442175	6.7374	4.8088503	7.266401	7.00025	6.706025	9.45465	6.71285	6.9556503	6.48665	6.553075	9.0555	5.8095	6.081	5.6518	6.7143	6.5654464
ACD	8.111025	7.630025	8.62265	9.2994995	9.18895	9.51705	9.370625	8.18825	7.7637	8.26015	9.056601	9.3862	8.5213	8.27905	9.729549	8.518826	9.42705	9.55315	8.27235	9.359825	9.9441	9.8768	8.3153	8.7845	8.8740225
ACLY	11.191625	8.13045	9.77265	9.12675	8.99365	9.64095	8.494049	7.92315	8.684401	8.172501	8.7382	7.89575	7.608225	9.97365	8.652901	9.9039	9.5119	9.70835	10.348749	8.646475	9.4941	9.5271	9.0662	9.9074	9.129711
ADAM10	10.8859005	8.6181	9.2561	9.475575	9.33165	9.2794	8.3468	9.202675	9.816549	9.98495	10.049275	9.601749	9.324699	9.6459	8.71265	8.8922	9.28325	9.55315	9.893351	8.7058	9.5778	9.9102	9.7388	9.8915	9.4574175
ADAT1	5.7959	7.191325	6.7796	7.15355	7.04585	6.82145	7.05105	6.710825	6.4157	6.3701	6.36315	6.4143248	6.56415	6.4918003	7.02705	6.3733	6.6217003	5.8250504	6.5829496	6.6643	8.2161	7.9990997	8.3084	7.76655	6.856386
ADCK3	3.724	3.1666498	3.9984	4.040575	3.6708999	4.316175	3.6239	4.60585	4.552725	4.381525	4.407875	4.2325997	4.27015	5.124775	4.60745	4.09655	4.4957	3.82535	4.46585	4.646	3.4546	3.7744	3.7744	3.9288	4.1327167
ADH5	10.480049	10.168	10.4096	10.15475	9.9713	7.2971	9.7179	8.54955	8.87035	8.846849	9.18335	8.40405	8.61455	10.08205	9.345925	10.38555	10.07135	10.110849	10.16655	10.34425	9.7589	9.51325	9.6193	9.2226	9.553665
ADO	5.9509	6.2085	6.8169	6.61665	6.45255	6.504375	6.37495	6.91565	6.87085	6.767	5.9848747	6.7688	6.6606503	6.82485	6.860675	7.59975	7.2093005	6.771875	7.20565	6.9704	5.4365	6.6395	5.4962	7.2269	6.630594
AGL	5.1824503	6.2952003	5.5179496	5.57375	5.28475	5.590025	6.20185	6.253225	6.48105	5.77175	5.340525	6.4205503	6.9123497	5.5525002	5.45605	5.0007	5.592225	6.5388746	5.2458	5.3205004	6.0307	6.0052	6.0366	6.2721	5.828195
AKAP8L	7.1682	8.924351	7.76585	7.36975	7.23695	7.0477	8.5416	8.235325	7.6356	7.785	8.672501	7.9085503	7.1243	7.5179996	6.1182003	7.8868	8.25495	8.9768505	7.2942	8.74345	7.612	7.07705	7.6366	7.2794	7.7422156
AKR7A2	12.0777	11.763451	11.9882	12.065001	11.3751	12.2394	11.907949	13.53525	12.9391	13.28225	13.676001	12.8883	13.3831005	12.3489	11.77515	12.568649	12.065001	12.116825	11.90705	11.83315	12.4373	12.5591	12.579	12.793	12.420997
AKT1	12.4307	12.20685	12.29605	12.330851	11.669649	12.4719	11.62495	12.46685	12.31005	12.57405	12.32125	12.3965	12.6956005	12.2115	12.3489	12.1778755	12.24515	12.4758	12.24515	12.2078	9.7099	9.2179	9.8178005	9.696	11.839542
ALAS1	11.475901	12.3437	12.12815	12.3082	12.085375	12.103925	11.82255	11.5513	11.8567	11.58	11.399401	11.7066	11.814051	11.77515	12.24055	12.1778755	12.5207	12.1496	12.2154	6.36385	14.1873	13.9779	14.1805	12.9284	12.037211
ALDH7A1	4.8028502	7.5041246	6.3985004	7.50045	7.71655	7.665825	7.1905003	6.32935	6.27625	6.3133497	5.2356	5.99905	5.9784503	6.3596497	7.6101003	7.95105	6.00145	4.760975	5.12295	4.9622498	8.5651	8.624	8.1606	8.6119	6.7350364
ALDOC	4.263	3.833825	4.8476	4.7731	4.4669	4.73475	4.15565	4.6212997	4.79825	4.7305	4.33245	4.4143	4.508875	4.96285	3.93065	4.17235	4.928125	4.216575	4.7049	4.6624002	4.3305	4.7488	4.5444	4.6078	4.5120773
AMDHD2	9.792	10.494975	9.203025	9.2016	9.0223	9.1966	8.7937	8.94195	8.356125	8.363726	8.810375	8.5224	7.9356	9.3287	9.2005005	9.160851	10.6015	9.522075	9.67045	11.1667	7.5426	7.1041	7.6366	7.63525	8.966821
ANKRD10	5.66385	5.0607	6.5586	5.95995	8.126699	7.7873	5.41885	6.7584	6.9711	8.17835	8.140551	6.8294	6.5761747	6.3596497	8.3111	6.5975	8.138849	5.50045	6.014825	6.106	7.07965	6.6907	7.0692	8.809549	6.862808
ANXA7	8.6262	9.7333	9.56415	9.716925	9.61265	9.72695	9.512675	9.9285	9.569349	9.252025	8.784676	9.1075	9.8083	9.7669	9.3784	9.84585	10.017426	9.896325	9.50125	9.596149	7.2854	9.37455	8.5409	9.4809	9.401135
APBB2	8.92205	9.11815	8.014501	7.9776	8.3313	7.92185	8.29235	8.2630005	7.92935	8.08895	8.0625	7.57865	8.138849	7.663125	7.5291495	7.95595	7.587775	7.3269997	8.3184	7.5849	9.7977	10.2654	9.602699	11.14575	8.392373
APP	12.7854	14.000099	13.465876	13.482201	13.6441	13.5907	13.9716	13.0793495	12.8687	12.78105	12.7244	13.19275	13.5487995	12.992149	13.25905	13.5655	13.5522995	13.25905	13.28975	13.6373	13.7305	13.6408	13.8396	13.5418	13.393451
APPBP2	6.92775	8.723425	8.26015	8.6433	8.483401	8.36215	8.37685	8.331551	8.23515	7.60715	5.4857	8.08545	8.2232	8.337851	6.9007998	7.9699	8.32375	7.8638005	7.866775	8.0744	8.2647505	8.5515995	8.5247	8.2365	8.027503
ARHGAP1	12.06595	11.5123	11.59605	11.2883	11.15545	11.310499	11.3363495	11.6481	11.6736	11.52085	12.1833	11.6492	11.7198	11.07895	11.613	11.3767	11.3751	11.685551	11.4318	11.846849	10.4257	10.23295	10.3227005	10.4698	11.354953
ARHGEF12	5.261925	5.8243	4.66695	3.826025	4.230025	3.4623	6.05765	5.2803	5.499225	4.9072	4.44105	4.8753	4.508875	4.68295	6.171525	4.59375	3.6803498	4.8371	5.356	3.65515	7.2232	7.5139	6.73575	7.3842	5.1947913
ARHGEF2	10.2886	9.105225	10.0817	9.143	9.039249	9.8234	9.400925	9.6413	9.862949	9.22185	9.4523	8.905475	8.8806	9.603025	10.101125	10.2302	10.32025	9.9802	9.674825	8.27665	9.2649	9.7249	9.4294	9.820749	9.553033
ARID4B	8.807699	5.280075	8.745251	8.8581	8.9557495	8.92875	5.950075	7.9379997	6.445775	8.10125	8.7896	8.1255	7.6897507	8.243151	6.965575	9.6906	8.60935	9.16375	8.9132	9.62595	6.981	8.4089	6.7193	7.4901	8.059436
ARID5B	9.01955	9.280775	7.271625	7.32875	7.501975	7.56765	8.13265	7.866775	7.5433497	9.50375	8.156675	8.164101	8.100025	9.053801	9.1748	7.22995	7.6984506	9.0064	7.7269497	8.5637	7.2464	7.6924	7.1668	7.8113003	8.075358
ARL4C	8.965275	8.8204	8.019001	8.153749	7.882775	8.16135	8.01985	7.61415	7.15025	7.74085	8.371975	8.33485	7.8904247	7.4041996	7.5884	7.5576997	7.50065	7.8638005	7.8189497	8.537875	9.442	9.32325	9.1934	8.533649	8.162032
ARPP19	3.724	4.6744003	8.2438	8.77365	8.0509	8.532351	7.6149	9.1237	8.9886	8.5173	7.04325	9.32585	8.82575	8.847975	7.99	8.712575	8.49565	8.62265	5.2458	9.2868	8.0831	8.7428	8.2631	8.869	8.024913
ASAH1	5.261925	5.484425	6.4856	6.7494497	6.0452	6.2008	5.84565	6.5214996	5.76575	5.1554	4.784	5.6942	6.195	6.8403997	7.1649003	5.350575	6.263975	5.168975	5.5221	7.097125	7.0693	7.8589005	7.3632	8.2365	6.255202
ASCC3	6.9618998	5.8505497	8.26015	8.1245	7.757	8.130375	7.2586994	7.56065	7.968	7.805375	6.67945	7.2342253	7.05805	8.4584	8.301001	8.4035	8.705075	7.8638005	8.389549	5.9292502	8.0689	7.6789002	7.3871	7.9762	7.6587753
ATF1	4.32625	7.069475	8.129	7.9313498	7.57025	6.8408	6.44645	8.51225	8.2251005	6.5524	5.0688	8.04375	7.956125	7.87055	6.3205004	7.756	7.3890753	5.5562	7.361775	6.6768503	7.40945	7.5627	7.5071	8.254351	7.1806893
ATF5	10.4298	7.9386997	8.775075	10.3901	8.75805	10.447	10.792325	8.7603	8.29235	7.634225	8.417549	7.5368505	8.0404	8.5877	8.1509495	7.530125	11.0069	11.05635	10.5348	8.7766	9.9576	9.9199	9.5187	9.946	9.216598
ATF6	10.12125	7.2091503	9.5886	9.362675	9.284149	9.4753	8.979475	9.1798	9.1067505	8.9934	9.30035	8.6721	8.6552	9.95035	9.217751	9.9991	9.6687	9.245	10.029675	7.35775	9.3665	9.406	9.2352	9.4429	9.201963
ATG3	9.21295	10.3035	7.05965	7.304575	7.2907	7.1951504	6.69895	8.30875	8.24905	8.111	8.3417	7.9623756	8.189324	7.6140003	11.3378	9.12465	8.139851	10.93115	10.3316	10.2669	5.3465	5.238	5.2950497	5.719	8.065507
ATP1B1	12.1079	11.61495	11.914	12.1434	11.7302	11.6903	10.98645	11.8906	11.92405	11.523001	12.4286	11.7	12.15145	11.49165	11.49265	11.804501	11.5099	11.893351	11.506375	11.32865	10.9411	11.1218	10.5776	11.764	11.634852
ATP2C1	9.825624	9.500999	9.053801	9.186199	9.3631	9.3686	9.34415	10.58875	10.4985	10.74515	10.8797	10.644526	10.89895	8.8922	9.36055	9.00865	8.97285	9.2592	8.9038	9.377501	9.8872	9.6761	9.79475	9.9196	9.706268
ATP6V0B	6.20545	7.297	7.8802	8.046875	8.078899	8.37705	7.5610003	7.6846004	8.050975	7.3858004	6.27965	7.59715	7.43755	8.1077	8.09035	8.348525	8.40465	7.792725	8.3076	5.27365	7.70595	7.6705003	7.7883	7.900199	7.6363473
ATP6V1D	11.9788	11.58555	11.71505	11.662849	11.2826	11.5455	11.39585	11.898451	11.6481	11.8666	12.03065	11.3588	11.7302	11.75215	11.893351	12.13965	11.874599	12.07925	11.4137	11.7314	10.5353	10.9653	10.9079	11.1547	11.589429
AURKA	6.359125	5.895275	6.42685	6.26405	6.086	6.45315	6.10775	7.572575	7.3326	7.3730497	8.109925	7.266401	7.26545	5.79535	5.918025	6.921975	4.58865	6.5627	7.3967	4.3865	7.3776	7.8193	7.4736	8.0165	6.698713
AURKB	11.31675	11.25045	11.0807495	10.95025	11.20945	10.6734	10.52195	12.14735	11.8762	12.18225	12.283199	11.741449	11.8353	11.20805	10.6664	11.291475	11.05155	11.171949	11.4318	10.361	13.0042	12.6938	12.6481	12.1202	11.529887
BACE2	6.6891003	9.80365	10.1396	9.9584	7.95655	10.3035	7.96725	9.404751	9.582251	7.359975	7.6400495	9.4597	7.8571997	7.4132996	9.6504	9.635401	7.587775	10.53175	7.20565	10.4772	8.6015	8.734801	8.5838	9.4205	8.831836
BAD	11.4318	11.55365	11.36295	12.2432	11.84395	11.48525	11.68895	12.6021	12.2696	12.46685	12.5233	12.142525	12.56345	12.2208	12.27765	11.84085	11.582425	11.804501	11.5926	11.698151	11.5838	10.8656	11.6101	10.7562	11.83376
BAMBI	7.321	6.469375	7.497275	8.51865	8.078899	8.34465	7.9425497	7.2256	7.9441	6.9063997	6.14425	7.66295	6.8845253	6.7496	8.58975	8.9102	7.6393003	7.2611	8.389549	7.95295	6.9903	8.0085	6.8142	8.31815	7.6068254
BAX	9.82925	9.7411	10.101125	10.18305	11.538851	11.963275	9.87805	9.971649	9.8234	10.212575	10.33305	9.79245	9.60635	11.454849	9.582425	10.4139	10.76375	10.066675	10.736549	9.89185	12.1145	11.6357	12.0625	11.0195	10.529849
BCL2	4.542525	4.2563	4.27345	5.397	5.1692247	4.00805	4.8858	4.79095	4.57945	5.1323	4.75635	4.5647497	5.054275	3.58285	5.695575	4.0257	3.9693	4.8371	3.33605	4.11285	5.21245	5.4395	5.1384	5.543	4.6793
BDH1	5.30315	4.052	5.0283003	6.0709	5.959125	5.6474	5.0212	6.309525	6.72195	5.6773	5.464125	6.43185	6.1092997	6.6162	4.7645497	6.3304	6.30165	4.559475	6.7241497	6.2565	5.7593	6.4111	6.0534	6.37335	5.8310914
BECN1	9.9173	9.4012	9.47655	8.5835495	9.034825	9.206875	9.848125	8.884701	9.32725	8.52065	8.235325	8.39855	9.42135	9.2779	9.25945	9.381075	8.705075	9.21685	9.50125	8.27665	8.5225	8.7106	7.9657	9.1695	9.010117
BHLHE40	5.47395	6.5537	5.171225	6.4119	5.6949253	6.71565	6.1666	6.853125	6.61335	6.1777496	5.12885	5.77175	6.1568003	5.4663	6.948975	6.9003	6.6638002	6.799125	6.050425	6.8177	5.7799	5.6256	5.3324	6.3041	6.1490917
