pr_gene_symbol	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:B09	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:C01	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:I02	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:L18	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:M24	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:N02	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:N03	DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:G03	DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:I02	DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:L18	DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:M24	DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:N02	DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:N03	DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:G03	DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:I02	DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:L18	DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:M24	DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:N02	DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:N03	KDA005_HCC515_96H_X3_F1B5_DUO52HI53LO:D07	KDA005_HCC515_96H_X3_F1B5_DUO52HI53LO:N14	KDA005_HCC515_96H_X3_F1B5_DUO52HI53LO:O13	KDB004_HCC515_96H_X2.A2_F1B5_DUO52HI53LO:I24	KDB004_HCC515_96H_X2.A2_F1B5_DUO52HI53LO:J03	KDB004_HCC515_96H_X2.A2_F1B5_DUO52HI53LO:K01	KDB004_HCC515_96H_X2.A2_F1B5_DUO52HI53LO:N24	KDB006_HCC515_96H_X3_F1B5_DUO52HI53LO:F23	KDB006_HCC515_96H_X3_F1B5_DUO52HI53LO:I21	KDB006_HCC515_96H_X3_F1B5_DUO52HI53LO:J14	KDB006_HCC515_96H_X3_F1B5_DUO52HI53LO:K18	KDB007_HCC515_96H_X2_B5_DUO52HI53LO:H02	KDB007_HCC515_96H_X2_B5_DUO52HI53LO:K08	KDB007_HCC515_96H_X2_B5_DUO52HI53LO:M07	KDB007_HCC515_96H_X2_B5_DUO52HI53LO:P15	mean
AARS	10.8529	11.5636	11.0705	11.5994	11.1028	11.3519	11.3081	11.327	11.2505	11.3067	10.541349	11.5733	11.5962	11.467	11.2969	11.3002	11.6119	11.4798	11.5812	12.55525	12.64625	12.717751	11.332001	11.4749	11.3315	11.6849	10.2665	10.0554	9.70665	9.7974	11.4157	11.2263	11.03795	11.4108	11.289427
ABCB6	6.3907003	7.3398	6.349	7.175	7.4295	7.2548504	7.28365	7.5032	5.9461	6.7252	6.2661	6.1521	7.8026	7.4607	6.3685	7.1209497	8.5205	6.8478	7.0391	8.4142	9.010049	8.54445	6.174	6.5338497	5.8979	6.1127	6.5949	8.7875	6.5864	8.1655	7.2561502	6.42165	6.7053	6.8389997	7.088792
ABCC5	4.7665	5.1866	5.3014	5.2192	5.0061	5.8115	4.7984	5.6637	5.4546003	6.1202497	5.5206	5.8659	5.3494997	5.3104	4.44855	5.0194	6.3175497	5.8295	5.77665	3.9514499	3.780725	3.97215	4.9852	4.0554	4.348	4.3409	4.1767	4.4955	4.5279	4.6492	4.8458004	4.0076	4.0303	4.8891	4.935948
ABCF1	12.15755	12.8308	12.24145	12.1787	12.2941	12.6005	12.7457	12.0831	11.7051	11.4493	12.074	12.0147	12.1356	12.3038	12.2835	12.4955	12.5231	12.7398	12.4782	14.758725	15.001249	15.0008	11.5109	12.4193	11.929501	11.3573	11.82575	12.298901	11.7434	12.333	11.3632	11.5405	10.994	11.6777	12.3261385
ABCF3	9.35445	7.8013	8.8727	8.8142	9.2661	8.97765	8.3207	8.6851	9.5815	8.62535	9.0722	9.8506	9.0722	9.156099	9.7186	8.8929	9.70105	9.6956005	8.8045	7.2429	7.10325	6.8152747	9.20035	8.847651	8.895	9.4376	9.027201	9.4529	9.612	8.956	3.9229	7.9451	7.8596	8.2152	8.670464
ABHD4	5.03535	5.9428	8.084	6.1623	5.1971	6.01	5.58375	7.9512005	6.1209	6.3095	5.76105	6.0944	5.0571	5.9591	6.1144	5.6607504	5.2124	6.2616	5.73925	5.57645	5.3543997	5.4964	7.5856	7.1370006	7.16045	7.3277	6.5104	6.6369	6.205	5.65105	6.9148	6.0883	6.0866995	6.9953	6.2053943
ABHD6	6.5963	6.6018	6.48725	6.2788	5.6439	6.6253	6.6384	9.1486	6.5288	6.36665	6.1871	6.3108	6.18585	6.2952	5.9501	8.4202	5.8503	6.5907	6.41565	7.4117002	8.7652	8.489325	7.42295	7.4074006	7.7532	7.3238	7.2636	6.4906	6.4874	6.6688	7.4529	7.0980997	6.9512997	7.0242	6.9156523
ABL1	7.5078	6.9793	6.987	7.58005	9.5314	8.3158	7.9252	9.762199	8.6482	8.4837	9.8919	8.3376	8.101251	10.04155	7.8153005	7.8257003	9.7273	8.2532	9.5338	8.565201	8.908051	8.4143505	8.2532	8.1447	9.4902	8.2689	7.8421	8.258201	8.2035	8.4209	8.4072	7.8157997	7.879599	8.6615	8.434754
ACAA1	7.2132	6.9811	9.028049	7.2265	7.1955	7.5718	7.6221	6.9292	7.729901	8.243401	7.4477	8.5655	6.79585	7.4256	7.6253	7.3816	7.1695	6.7539	8.2963	5.47495	4.98355	4.89115	7.0766	6.0927	5.9683	6.5691	7.9506	6.31435	5.9625	7.33185	4.2475004	5.5682	5.6738997	6.7536	6.8841434
ACAT2	10.5651	9.6608	9.8075	10.011	10.1713	9.0043	9.6159	11.1582	9.3368	9.3917	9.8105	9.644051	11.0846	10.2206	9.9971	10.0677	11.6769	10.228701	11.313	10.58255	11.8195	11.9017	10.2376	8.9102	8.8832	10.3796	10.278	10.7178	10.3618	10.7672	3.88555	10.1155	10.6267	10.0588	10.067396
ACBD3	6.1086	5.1756	5.8002	7.0418	5.9202	5.54065	5.1967	5.7914	6.284	8.5513	5.6317	6.66325	5.72435	7.23245	6.92175	5.641	5.3856	5.4916	6.0279	6.334475	5.848	6.5081997	7.7332	6.6797	7.0247507	7.5366	5.32085	5.939	7.5224	6.7153997	7.3070498	6.1915	7.0979	6.8646	6.375108
ACD	10.1958	8.2099	9.9508	10.6042	10.2408	8.7438	10.0595	7.81435	8.6429	8.72095	7.83815	8.3921	7.7832	8.04585	9.829	8.5989	8.355999	7.846	9.8903	13.429001	13.567675	13.40005	9.5259	9.6573	9.73355	9.772	10.7533	10.0178	8.3581	9.9889	10.4504	10.8351	10.93085	9.7429	9.703686
ACLY	7.9478	9.3473	8.3854	8.3778	7.8302	8.0282	8.0764	7.9910007	9.0654	9.7973	8.7812	8.2974	7.37685	8.7418	9.0786	8.161449	8.4466	7.97645	7.5125	7.4413996	6.180625	6.5126	10.7007	9.9352	10.3406	10.6173	8.5955	8.1911	8.846	6.961	10.2544	9.310801	9.2558	10.1766	8.604097
ADAM10	8.3723	9.0192	8.41095	8.7661495	8.7328	8.261499	8.8833	8.7934	9.3178	10.0006	9.39655	8.7266	8.4757	8.9838	9.1865	9.1311	8.855101	8.6521	8.086	8.40155	8.851601	8.599626	9.3937	8.0625	8.596	9.3386	8.3479	8.1911	8.6624	7.5127	9.002	7.882	7.45975	8.4625	8.671041
ADAT1	6.6436	6.85305	6.8186	7.2069006	7.3638997	6.975	7.3709	5.5446	6.70755	6.1202497	7.4154	7.1005497	6.8238	7.5823007	6.90215	7.2206	6.6201	9.8071	8.3626	7.7338	7.4725246	4.89115	6.9081497	7.3404503	6.7505	6.6967	6.76475	7.7807994	6.6249	7.0788007	6.8866	6.9334	6.78615	6.6796	7.0225654
ADCK3	3.45325	3.5238	4.45925	3.7054	3.3637	3.5979	3.94855	3.28125	3.6099	4.0028	3.3659499	2.2708	2.2181	3.4346	3.6022	3.2739003	3.39445	5.0358	3.27705	4.0352	3.5770001	3.87145	4.2073	3.5231	3.6615	3.96695	3.9626	4.0894003	3.941	4.1581	5.117	3.6694	3.7199	4.152	3.719722
ADI1	9.03825	8.6444	8.9283	8.8632	9.0814	7.6755505	7.459	7.8244	8.71445	8.037149	8.675	5.6748	8.6894	9.327499	9.070499	8.64165	3.8274	8.9309	8.7855	8.123975	8.029724	7.1604996	10.3472	9.2877	9.5847	10.3483	9.2546	9.319	9.118	9.3301	9.76605	9.5162	10.0119	10.0435	8.6803
ADO	5.8773	5.8966	6.8629	6.0045	5.86285	6.4267	5.9679	6.118	6.5882	6.3802	6.0784	6.676	5.39	6.3421	6.3938	5.753	6.099	6.5505	5.77665	12.62195	4.1617002	4.71085	7.0113497	6.04595	6.7162	6.8795	5.7879496	5.95585	6.45415	6.0864	6.9690504	5.8716497	6.0599	6.683	6.325296
ADRB2	4.0483503	4.50345	4.0633	4.2676	3.9425	3.7511	4.3907	5.0321	4.2526	3.64295	4.796	3.7627	5.0571	3.8812	3.98245	4.54605	4.4793	6.2455	4.3966503	4.1171002	4.3118997	4.5165	3.9495	3.9351	3.8073	4.1601	4.1217003	4.0894003	4.23105	4.2914	5.57345	4.0205	4.0708	4.2398	4.308153
AGL	6.41815	5.6407	5.663	6.67065	6.60285	5.6556	5.9416	5.3509	6.35345	5.5666	6.5119	6.7163	6.053	6.3197	6.0544	6.2469	6.5379	7.2797003	10.2065	9.81105	7.74005	8.2377	7.0575	6.4062	6.3553	6.4368	6.3476	6.5312004	6.9561	6.4561996	5.6401	6.6993	6.7584	6.1656	6.6290855
AKAP8	9.3981495	7.9064	9.5449	9.1228	8.9313	8.2889	7.23995	10.0727	8.436649	8.3234	8.080999	8.2527	8.535851	9.1941	7.6539	7.7696	7.8419	9.2611	7.6098	7.11335	7.1626	6.983625	7.8957	7.593549	7.7638	7.4968	7.0017	8.9354	8.8675	6.961	7.4853005	7.0056	7.0912	7.5682497	8.070307
