pr_gene_symbol	DER001_MCF7_96H_X1_F1B6_DUO52HI53LO:B09	DER001_MCF7_96H_X1_F1B6_DUO52HI53LO:G03	DER001_MCF7_96H_X1_F1B6_DUO52HI53LO:I02	DER001_MCF7_96H_X1_F1B6_DUO52HI53LO:M24	DER001_MCF7_96H_X1_F1B6_DUO52HI53LO:N02	DER001_MCF7_96H_X1_F1B6_DUO52HI53LO:N03	DER001_MCF7_96H_X3_F1B6_DUO52HI53LO:B09	DER001_MCF7_96H_X3_F1B6_DUO52HI53LO:G03	DER001_MCF7_96H_X3_F1B6_DUO52HI53LO:I02	DER001_MCF7_96H_X3_F1B6_DUO52HI53LO:L18	DER001_MCF7_96H_X3_F1B6_DUO52HI53LO:M24	DER001_MCF7_96H_X3_F1B6_DUO52HI53LO:N02	DER001_MCF7_96H_X3_F1B6_DUO52HI53LO:N03	KDA007_MCF7_96H_X1_B1_UNI4445L:B10	KDA007_MCF7_96H_X1_B1_UNI4445R:G16	KDA007_MCF7_96H_X1_B1_UNI4445R:G19	KDA007_MCF7_96H_X1_B1_UNI4445R:J21	KDA008_MCF7_96H_X1_B1_UNI4445L:G10	KDA008_MCF7_96H_X1_B1_UNI4445L:J06	KDA008_MCF7_96H_X1_B1_UNI4445R:G15	KDA008_MCF7_96H_X1_B1_UNI4445R:H13	KDB008_MCF7_96H_X2_B1_UNI5253L:A08	KDB008_MCF7_96H_X2_B1_UNI5253L:B11	KDB008_MCF7_96H_X2_B1_UNI5253L:M05	KDB008_MCF7_96H_X2_B1_UNI5253R:N18	KDC005_MCF7_96H_X2_B4_DUO52HI53LO:O11	KDC005_MCF7_96H_X2_B4_DUO52HI53LO:O12	KDC005_MCF7_96H_X2_B4_DUO52HI53LO:P11	KDC005_MCF7_96H_X2_B4_DUO52HI53LO:P12	MUC.KD002_MCF7_96H_X1_B7_DUO52HI53LO:I11	MUC.KD002_MCF7_96H_X1_B7_DUO52HI53LO:I12	MUC.KD002_MCF7_96H_X1_B7_DUO52HI53LO:J11	MUC.KD002_MCF7_96H_X1_B7_DUO52HI53LO:J12	MUC.KD002_MCF7_96H_X2_B7_DUO52HI53LO:I11	MUC.KD002_MCF7_96H_X2_B7_DUO52HI53LO:I12	MUC.KD002_MCF7_96H_X2_B7_DUO52HI53LO:J11	MUC.KD002_MCF7_96H_X2_B7_DUO52HI53LO:J12	mean
AARS	12.0674	11.6847	11.6002	11.9347	11.7592	11.7435	12.3408	12.0876	12.1295	12.2052	11.9463	12.1153	12.2936	12.4632	12.5282	12.5911	12.5303	12.9373	12.3894	12.7657	12.9092	11.0979	11.3297	11.535	11.5906	11.3866005	11.064449	11.4194	11.18025	10.851	11.1314	10.9286	11.1722	11.8644	11.8387	11.6514	11.2002	11.844979
ABCB6	8.9938	9.6908	10.5201	10.003201	8.846251	10.2794	9.9723	10.11445	10.07685	10.1178	10.1889	9.9004	9.84445	10.6721	10.55235	10.5756	10.3856	10.6814	10.498	10.88025	10.7816	9.2356	9.2801	9.2074	9.2624	8.48525	8.6801	8.91465	8.7247505	7.6387005	7.35155	7.38895	7.8615	8.2193	8.9498	7.61595	7.9	9.413286
ABCC5	4.87805	5.1839	6.9167	5.75235	6.6838	4.5492	6.2173	8.1592	6.0255003	6.28055	7.4281	5.7078	5.9802	8.0526	8.369	8.2618	8.787101	8.3637	8.5364	8.55	8.1639	6.1732	5.90035	5.7501	6.4784994	6.25305	5.6254	6.00725	5.9837503	7.3134	7.3057	7.4909496	6.1747	6.6073	6.3637	6.5297	6.4594	6.7368536
ABL1	7.8932	8.190001	8.1017	8.7471	5.2713	5.7778	8.6614	8.9229	8.4346	8.4237	6.3117	5.7323	7.8955	10.8638	10.708	10.7377	9.9504	10.441	10.1475	11.0764	11.4124	7.8252497	7.87295	7.9386	7.9515	7.37325	6.5611496	6.5044003	6.2961	6.74035	6.29315	7.8948	8.576799	8.8809	8.6811	8.6645	8.571051	8.279087
ACAT2	9.6557	8.763599	9.1506	9.4388	9.7736	11.2729	9.5416	10.9148	10.1551	9.7309	9.29965	9.4245	10.0323	11.0547	10.5627	11.0626	10.9122	11.7204	11.60615	11.6141	11.7413	9.1716	9.4027	8.8035	9.1673	9.75985	9.38055	9.6269	9.4099	4.8013496	10.9685	10.9416	10.8455	10.3033	9.768	9.4911	10.1916	9.985444
ACLY	9.0378	9.441	9.6262	9.2333	8.5167	7.8887997	8.9316	8.2758	9.2406	9.6958	8.6744	9.0729	8.88065	11.5962	11.8285	11.43765	11.12	11.7686	10.9337	12.0838	12.173	9.2246	9.5492	9.5735	9.3891	9.412775	9.836451	9.5814	9.8422	8.08105	7.9736	8.1867	8.6707	9.73595	10.1045	12.8529	9.6379	9.759717
ADCK3	3.473	4.35905	4.749	3.8751001	11.69315	3.1173	4.3712	3.62005	4.81555	4.3041	3.8075	3.9653	3.7871	5.2542	4.6704	4.4779	4.3705	4.1941004	4.3005	5.1334	5.2503	4.9343	5.1736503	5.9078	6.1175	4.19475	4.5752497	4.4404	4.5829	4.43	4.5075	4.65245	4.9381504	4.5495996	4.7042	4.8691	4.6299	4.7242203
ADH5	8.5339	9.367399	10.6786	10.19125	9.0161	9.5201	9.6662	10.0567	9.9208	9.989	8.02895	8.218	8.1415	11.6584	11.4593	11.4106	10.63055	11.4414	11.041	12.1882	12.0478	11.5063	11.4472	11.3667	10.991	9.7839	9.1426	9.7674	9.7015	11.4287	11.2703	11.295	11.0895	11.2832	11.28	10.9279	10.9192	10.443409
ADRB2	4.666	8.1931505	4.5167	4.2836	5.2066	3.7393	5.2047	4.4572	4.29035	4.5422497	4.8839	4.3964	4.8824	4.7641	4.4216	5.6021	6.3878	5.7383	6.9093	3.8675	4.5714	5.11025	4.95225	5.2581	4.6207	3.947075	4.105125	4.3757	3.7999	4.3946	4.16645	4.6833	4.70695	4.481	4.7322	4.814	4.2459	4.8085985
AGL	6.2221	6.4054	5.0701	5.8863	5.9893	5.18915	6.5381002	6.24345	5.8842	6.195	6.4602	5.8183	6.3266	8.361	8.2935	8.6556	9.59	9.8582	10.1585	8.4235	8.656851	6.57545	6.1317997	6.3066	6.1997	5.6153	5.5123	5.659575	5.6816998	6.388	9.2207	6.3085	5.9472	6.39335	6.0330496	6.0435	6.2307997	6.769538
