pr_gene_symbol	DER001_PC3_96H_X1_F1B6_DUO52HI53LO:B09	DER001_PC3_96H_X1_F1B6_DUO52HI53LO:C01	DER001_PC3_96H_X1_F1B6_DUO52HI53LO:G03	DER001_PC3_96H_X1_F1B6_DUO52HI53LO:I02	DER001_PC3_96H_X1_F1B6_DUO52HI53LO:L18	DER001_PC3_96H_X1_F1B6_DUO52HI53LO:M24	DER001_PC3_96H_X1_F1B6_DUO52HI53LO:N02	DER001_PC3_96H_X2_F1B6_DUO52HI53LO:B09	DER001_PC3_96H_X2_F1B6_DUO52HI53LO:C01	DER001_PC3_96H_X2_F1B6_DUO52HI53LO:G03	DER001_PC3_96H_X2_F1B6_DUO52HI53LO:I02	DER001_PC3_96H_X2_F1B6_DUO52HI53LO:M24	DER001_PC3_96H_X2_F1B6_DUO52HI53LO:N02	DER001_PC3_96H_X2_F1B6_DUO52HI53LO:N03	DER001_PC3_96H_X3_F1B6_DUO52HI53LO:B09	DER001_PC3_96H_X3_F1B6_DUO52HI53LO:G03	DER001_PC3_96H_X3_F1B6_DUO52HI53LO:I02	DER001_PC3_96H_X3_F1B6_DUO52HI53LO:L18	DER001_PC3_96H_X3_F1B6_DUO52HI53LO:M24	DER001_PC3_96H_X3_F1B6_DUO52HI53LO:N02	DER001_PC3_96H_X3_F1B6_DUO52HI53LO:N03	KDA007_PC3_96H_X1_B1_UNI4445L:B10	KDA007_PC3_96H_X1_B1_UNI4445R:G16	KDA007_PC3_96H_X1_B1_UNI4445R:G19	KDA007_PC3_96H_X1_B1_UNI4445R:J21	KDA008_PC3_96H_X1_B1_UNI4445L:G10	KDA008_PC3_96H_X1_B1_UNI4445L:J06	KDA008_PC3_96H_X1_B1_UNI4445R:G15	KDA008_PC3_96H_X1_B1_UNI4445R:H13	KDB005_PC3_96H_X2_B1_UNI5253R:A13	KDB005_PC3_96H_X2_B1_UNI5253R:H13	TAK001_PC3_96H_X1_B7_DUO52HI53LO:F19	TAK001_PC3_96H_X1_B7_DUO52HI53LO:N16	TAK001_PC3_96H_X1_B7_DUO52HI53LO:O20	TAK001_PC3_96H_X2_B7_DUO52HI53LO:F19	TAK001_PC3_96H_X2_B7_DUO52HI53LO:N16	TAK001_PC3_96H_X2_B7_DUO52HI53LO:O20	TAK002_PC3_96H_X1_B7_DUO52HI53LO:J09	TAK002_PC3_96H_X1_B7_DUO52HI53LO:K13	TAK002_PC3_96H_X1_B7_DUO52HI53LO:N04	TAK002_PC3_96H_X2_B7_DUO52HI53LO:J09	TAK002_PC3_96H_X2_B7_DUO52HI53LO:K13	TAK002_PC3_96H_X2_B7_DUO52HI53LO:K22	TAK002_PC3_96H_X2_B7_DUO52HI53LO:N04	TAK002_PC3_96H_X3_B7_DUO52HI53LO:J09	TAK002_PC3_96H_X3_B7_DUO52HI53LO:K13	TAK002_PC3_96H_X3_B7_DUO52HI53LO:K22	TAK002_PC3_96H_X3_B7_DUO52HI53LO:N04	TAK003_PC3_96H_X1_B7_DUO52HI53LO:K07	TAK003_PC3_96H_X1_B7_DUO52HI53LO:K08	TAK003_PC3_96H_X1_B7_DUO52HI53LO:P15	TAK003_PC3_96H_X1_B7_DUO52HI53LO:P16	TAK003_PC3_96H_X2_B7_DUO52HI53LO:K08	TAK003_PC3_96H_X2_B7_DUO52HI53LO:P15	TAK003_PC3_96H_X2_B7_DUO52HI53LO:P16	TAK003_PC3_96H_X3_B7_DUO52HI53LO:K07	TAK003_PC3_96H_X3_B7_DUO52HI53LO:K08	TAK003_PC3_96H_X3_B7_DUO52HI53LO:P15	TAK003_PC3_96H_X3_B7_DUO52HI53LO:P16	ERG013_PC3_96H_X1_B11:A17	ERG013_PC3_96H_X1_B11:E17	ERG013_PC3_96H_X1_B11:G17	ERG013_PC3_96H_X1_B11:I11	ERG013_PC3_96H_X1_B11:K11	ERG013_PC3_96H_X1_B11:M11	ERG013_PC3_96H_X1_B11:O11	ERG013_PC3_96H_X2_B11:A17	ERG013_PC3_96H_X2_B11:C17	ERG013_PC3_96H_X2_B11:E17	ERG013_PC3_96H_X2_B11:G17	ERG013_PC3_96H_X2_B11:I11	ERG013_PC3_96H_X2_B11:K11	ERG013_PC3_96H_X2_B11:M11	ERG013_PC3_96H_X3_B11:A17	ERG013_PC3_96H_X3_B11:C17	ERG013_PC3_96H_X3_B11:E17	ERG013_PC3_96H_X3_B11:G17	ERG013_PC3_96H_X3_B11:I11	ERG013_PC3_96H_X3_B11:K11	ERG013_PC3_96H_X3_B11:M11	ERG013_PC3_96H_X3_B11:O11	mean
AARS	9.9856	10.76	10.2228	9.7974	10.1364	10.1935	9.9185	9.9561	10.378	9.8848	9.9196	9.79755	9.7705	10.001	9.7939	9.9818	10.0829	9.7676	9.9601	9.708651	10.2962	9.564875	9.7678	10.3312	10.11475	10.7467	10.45735	10.661	10.86915	9.5521	9.5413	8.488075	9.188175	8.8307495	8.786449	8.65435	8.964649	9.5597	9.28525	9.24725	8.2995	9.12065	8.88785	8.9576	8.7598	8.5395	8.8397	8.7631	8.9953	9.15315	8.9861	9.0009	8.9164	8.952351	8.487	9.0515	8.5643	9.37445	8.7157	8.973675	9.316925	9.1054	9.0941	9.3724	9.2774	9.071725	9.626474	9.262699	8.835	9.0963	9.05245	8.80275	9.176451	9.45805	9.27265	9.0736	9.1363	9.02	8.95735	9.120775	9.431126	9.417559
ABCB6	7.1799	8.0515995	7.1462	7.812	7.6143503	7.56565	6.5375	6.6202	7.6714	7.4254994	6.3024	7.0032997	7.4791	7.6434	5.9214	6.0527	7.0558	7.59195	6.89625	6.4686	7.7444	8.6105	8.57955	8.78785	8.6487	9.336299	9.29675	9.3991	9.5145	7.101549	7.2421	7.122051	5.92055	7.200925	6.67225	6.2275	6.5524	6.1335	6.37885	7.1447	7.1704	6.656	7.5666	7.3962	7.4234996	7.3845	7.773	7.39775	7.04305	6.1228504	6.63295	7.3775	7.3935	7.15685	7.3639	7.0874	7.8255	6.7879	7.6997	7.4578004	7.1155996	7.47535	6.7031	7.58345	7.5441494	6.9024	7.57975	7.2769246	7.3218746	6.7887	7.4640503	7.3341	7.2902	7.1816998	7.329475	6.815125	7.2342	7.01025	7.3693	7.10315	6.942175	7.3053718
ABCC5	5.22705	5.28685	5.46375	5.562	5.6484	5.1083	4.90455	5.2725	5.26705	4.24765	4.58325	9.48385	4.6211	5.40905	4.8391	4.84035	4.8732	5.49	5.7395	5.2903	5.508	6.4266	6.4141	6.796625	6.6064	6.81855	6.9923	6.4797	7.1946	4.737925	4.6956	3.8094501	4.2022	4.50565	3.9812498	4.06975	4.4938	4.5711	4.549	4.5083	4.3787	4.1657	4.4105	4.9168	5.16285	4.7075	4.6918	4.129	3.9555	4.0384	4.3498	4.8252	4.9001	5.3585	4.9579	4.7778	5.0083	4.5036	4.9644	4.8451	5.17085	4.451825	4.52225	4.861725	4.7542	4.208025	5.034475	4.4024	5.55805	5.1790752	5.1120253	4.876	5.0501003	4.8954997	4.5135	4.5898	4.8318253	4.33785	4.5973	4.0679	4.6658497	5.027737
ABL1	7.55415	6.28855	7.4011497	7.6152	7.7478	8.122	7.1916	7.3236	4.7287	6.5082	7.1479	8.5113	7.0835996	7.348	7.6975	6.728	7.60275	7.5705	7.6537	7.6041007	8.060301	9.90045	9.5891	9.80945	9.10695	10.822	10.5913	10.6871	10.23225	6.78795	7.0535994	6.87195	6.9294	7.40835	7.31075	7.5808496	7.4346504	7.4987006	7.07175	7.017	7.180799	7.2415004	7.33805	7.7048	7.87525	7.6822	8.0594	7.2193	7.0211496	6.7431	7.48965	7.2315	7.4612	7.4873	7.3917	7.46245	7.6122	7.9569	7.9212995	7.99175	11.3304	7.9915996	7.9344254	8.359051	7.7292004	8.061399	8.0668	7.6714	7.8641005	8.08035	7.619325	7.4835253	7.7754493	8.1283	8.17695	7.85465	7.82985	7.92555	8.024825	7.8834248	8.2755	7.8188863
ACAA1	10.9653	7.3063993	9.6609	9.768	9.5088	9.41255	9.57605	10.0128	8.47925	8.979	10.4227	9.9596	9.0786	8.8681	11.5566	11.6372	11.8674	11.2748	9.938801	10.3951	9.5678005	10.0014	9.6096	9.3821	10.02005	10.3168	10.37	10.50095	10.302401	8.208125	8.553949	7.5048757	7.5348506	8.565849	8.583851	8.048175	8.5276	8.5019	8.1963	8.7628	10.1822	8.5346	8.5983	8.86725	8.9386	8.7386	9.5373	8.971	8.0726	8.23465	8.6605	9.0183	8.9192	8.72145	8.8341	8.8072	8.9595	8.4574	8.8824005	7.5881004	8.40535	8.21015	8.2717495	7.76785	9.448799	7.809499	9.55685	8.8960495	9.671749	9.7767	8.3911495	9.722025	9.04835	8.3148	7.9938755	8.091949	8.4571495	7.8961	8.1915245	9.01885	5.291	9.055335
ACAT2	9.3596	8.2743	8.9373	8.7157	9.2577	10.27225	9.1924	8.9726	10.00435	9.8408	9.130199	14.363	9.8152	9.553499	9.2974	9.52335	9.19135	9.552549	9.5297	9.432	9.2652	10.2675	10.3444	10.18615	10.2742	11.3037	11.3305	11.4228	11.0556	9.091625	9.344	10.038825	9.3916	9.0328	9.522051	9.1137	9.2968	9.7145	10.522	10.1538	10.0901	9.8511	9.7981	9.2898	9.6102	9.5765	8.918	9.4303	10.9643	10.1869	10.2341	10.2287	10.4651	9.8948	9.4156	9.4131	9.8945	8.2562	8.6524	8.4208	8.6461	8.8179	8.94865	8.58415	9.298901	8.77225	8.2734	8.0442505	9.190375	9.3981495	9.25815	9.555625	9.045	8.5429	8.83165	8.7868	8.832251	8.976351	9.061899	8.758551	8.73785	9.528874
ACLY	8.2345	9.8775	13.1698	8.7297	8.2933	7.9832	7.9485	8.434601	8.5912	7.38795	8.7202	7.17215	7.8746495	8.3509	8.748	8.23815	8.8048	8.18085	7.944	8.10835	8.27215	9.6536	10.00255	10.282949	10.24855	10.0483	10.1805	9.7731	9.308	7.8594	8.3095	7.7892	8.7523	8.5198	9.1301	9.1824	9.367525	7.7563	7.0199	7.6037	8.23605	8.976299	8.2307	9.4676	8.746	8.0864	8.571	8.7511	7.21	7.8576	8.4852	8.3668	7.9518	9.0044	8.7389	8.5805	8.4864	9.1143	9.5161	9.43645	9.064899	8.8318	9.08305	8.951	9.10405	9.12845	9.5380745	9.6465	9.73805	9.2415	9.2435	9.296801	9.328751	9.128075	9.17905	8.799	9.34565	9.058849	8.8925495	8.49785	12.815149	8.858992
ADCK3	5.4581	5.0951	5.6532	5.64925	5.8372	4.6588497	5.04275	4.96225	4.0013504	3.96915	4.5234	3.9674501	4.4294	5.1561	5.0625	5.1225	4.3664	5.1602	5.7395	4.9356	5.1642	7.005	7.0261	6.62015	6.851	7.4251	7.54775	7.747	7.068	6.465325	6.42145	5.3896503	4.7390003	5.5580997	5.2964997	5.19665	5.8709497	5.3544	4.8849	4.9913	5.4888	5.2062	6.18465	6.0629997	6.5421	6.2617	6.3929	6.0557	4.81495	4.9324	5.7559	8.1097	6.134	6.5766	6.7785	6.2088	6.61455	5.9952	6.6822	5.34295	5.428275	5.2802	5.599875	5.59775	5.756775	8.30315	5.4084	5.2163	6.3914003	5.58755	5.4376	5.66215	5.571475	4.996575	4.87285	5.07585	5.58475	4.67205	5.29665	4.5741	5.2608	5.668248
ADH5	9.3927	8.0861	9.4433	9.5444	9.0579	8.252901	8.2817	10.1057	9.0529	9.0449	8.559	10.2044	8.9259	7.4759	9.68235	7.6081	10.1712	7.05455	9.13385	7.6473	9.59775	10.913549	10.701	10.96195	10.60075	11.7026	11.8545	11.6445	11.1494	10.7048	10.508949	10.7473	11.01785	10.885	11.39085	11.273951	11.18725	10.7331	10.7128	10.8382	10.8575	11.2015	11.222	11.3274	10.8445	11.0585	11.1845	10.9788	10.01395	10.2631	8.9309	10.9283	11.559	11.3032	11.6743	11.4176	11.5367	11.264	11.4814	9.4688	9.2554	9.457399	8.6798	8.73115	8.494825	9.00945	9.2536745	9.7542	10.0527	9.352249	9.1276	9.8156	8.6285	9.05995	8.80275	8.8414	9.476601	8.789425	9.8973	10.5109005	8.9437	9.979033
ADRB2	8.2755995	8.2264	8.6856	8.4151	8.8466	8.2239	9.0203	8.0085	7.5308	7.3290997	8.09915	6.6336	8.0429	8.436	8.0477495	7.8557496	9.93595	8.6771	11.5001	8.5542	8.199649	6.37135	6.3968	6.91315	6.6027	7.2928	7.6174	7.3474	7.8329	7.3227253	7.4605	8.3027	7.23855	7.889725	8.7201	8.696925	8.6081	8.5513	8.4321	9.28895	9.1868	7.43015	9.2014	8.6382	9.2417	9.1474	9.0333	9.209801	8.847401	7.46585	8.1715	8.27515	9.1722	8.082	8.8163	8.2321	9.2358	8.975	8.9725	7.174925	7.3472	7.1033754	7.5031	7.3373747	7.415425	7.2904	7.1626	7.6775	7.1375747	7.4967003	6.9925	7.10105	7.2502003	7.6703005	7.41235	8.99925	7.41405	7.3754	7.008025	6.83465	7.2003994	8.032952
