pr_gene_symbol	DER001_A375_96H_X1_B7_DUO52HI53LO:B09	DER001_A375_96H_X1_B7_DUO52HI53LO:G03	DER001_A375_96H_X1_B7_DUO52HI53LO:I02	DER001_A375_96H_X1_B7_DUO52HI53LO:N02	DER001_A375_96H_X1_B7_DUO52HI53LO:N03	DER001_A375_96H_X2_B7_DUO52HI53LO:B09	DER001_A375_96H_X2_B7_DUO52HI53LO:C01	DER001_A375_96H_X2_B7_DUO52HI53LO:G03	DER001_A375_96H_X2_B7_DUO52HI53LO:I02	DER001_A375_96H_X2_B7_DUO52HI53LO:L18	DER001_A375_96H_X2_B7_DUO52HI53LO:N02	DER001_A375_96H_X2_B7_DUO52HI53LO:N03	DER001_A375_96H_X3_B7_DUO52HI53LO:G03	DER001_A375_96H_X3_B7_DUO52HI53LO:I02	DER001_A375_96H_X3_B7_DUO52HI53LO:M24	DER001_A375_96H_X3_B7_DUO52HI53LO:N02	KDA004_A375_96H_X2_B2_DUO52HI53LO:C05	KDA004_A375_96H_X2_B2_DUO52HI53LO:D11	KDA004_A375_96H_X2_B2_DUO52HI53LO:F08	KDA004_A375_96H_X2_B2_DUO52HI53LO:M10	KDA008_A375_96H_X2_B2_DUO52HI53LO:G10	KDA008_A375_96H_X2_B2_DUO52HI53LO:G15	KDA008_A375_96H_X2_B2_DUO52HI53LO:H13	KDA008_A375_96H_X2_B2_DUO52HI53LO:J06	KDB003_A375_96H_X1_B2_DUO52HI53LO:F19	KDB003_A375_96H_X1_B2_DUO52HI53LO:I09	KDB003_A375_96H_X1_B2_DUO52HI53LO:I18	KDB003_A375_96H_X1_B2_DUO52HI53LO:J06	KDD004_A375_96H_X2_F1B4_DUO52HI53LO:O11	KDD004_A375_96H_X2_F1B4_DUO52HI53LO:O12	KDD004_A375_96H_X2_F1B4_DUO52HI53LO:P11	KDD004_A375_96H_X2_F1B4_DUO52HI53LO:P12	TAK001_A375_96H_X1_B7_DUO52HI53LO:F19	TAK001_A375_96H_X1_B7_DUO52HI53LO:M05	TAK001_A375_96H_X1_B7_DUO52HI53LO:N16	TAK001_A375_96H_X1_B7_DUO52HI53LO:O20	TAK001_A375_96H_X2_B7_DUO52HI53LO:F19	TAK001_A375_96H_X2_B7_DUO52HI53LO:M05	TAK001_A375_96H_X2_B7_DUO52HI53LO:N16	TAK001_A375_96H_X2_B7_DUO52HI53LO:O20	TAK001_A375_96H_X3_B7_DUO52HI53LO:F19	TAK001_A375_96H_X3_B7_DUO52HI53LO:M05	TAK001_A375_96H_X3_B7_DUO52HI53LO:N16	TAK002_A375_96H_X1_B7_DUO52HI53LO:K13	TAK002_A375_96H_X1_B7_DUO52HI53LO:K22	TAK002_A375_96H_X1_B7_DUO52HI53LO:N04	TAK002_A375_96H_X2_B7_DUO52HI53LO:J09	TAK002_A375_96H_X2_B7_DUO52HI53LO:K13	TAK002_A375_96H_X2_B7_DUO52HI53LO:K22	TAK002_A375_96H_X2_B7_DUO52HI53LO:N04	TAK002_A375_96H_X3_B7_DUO52HI53LO:J09	TAK002_A375_96H_X3_B7_DUO52HI53LO:K13	TAK002_A375_96H_X3_B7_DUO52HI53LO:K22	TAK002_A375_96H_X3_B7_DUO52HI53LO:N04	TAK003_A375_96H_X1_B7_DUO52HI53LO:K08	TAK003_A375_96H_X1_B7_DUO52HI53LO:P15	TAK003_A375_96H_X1_B7_DUO52HI53LO:P16	TAK003_A375_96H_X2_B7_DUO52HI53LO:K07	TAK003_A375_96H_X2_B7_DUO52HI53LO:K08	TAK003_A375_96H_X2_B7_DUO52HI53LO:P15	TAK003_A375_96H_X2_B7_DUO52HI53LO:P16	TAK003_A375_96H_X3_B7_DUO52HI53LO:K07	TAK003_A375_96H_X3_B7_DUO52HI53LO:K08	TAK003_A375_96H_X3_B7_DUO52HI53LO:P15	TAK003_A375_96H_X3_B7_DUO52HI53LO:P16	mean
AARS	10.4907	9.8227	9.987475	10.3081	9.808599	9.976049	9.60795	9.8323	9.7382	9.30785	9.8049	9.5527	11.05425	11.245501	11.32765	11.2108	10.1791	10.0711	10.54825	11.0222	10.2947	10.7635	10.5916	10.4255	10.6524	10.7019	10.6276	10.7867	10.69205	10.64995	10.76955	10.865925	10.1615	10.1905	10.5619	10.2584	10.9517	11.1322	10.9298	10.546	10.42395	10.8464	10.2665	9.641399	10.0336	9.8638	10.8272	10.6617	10.7513	10.7877	9.7004	9.9081	10.168	10.467	9.676	9.7938	9.6781	10.3872	10.4046	10.7844	10.9761	9.9941	10.1985	10.8625	10.9568	10.392445
ABCB6	8.80005	6.87505	6.782325	9.68	6.8556004	7.9174004	8.263525	7.9543	8.1831	8.1364	7.634975	8.27225	8.5186	8.629	7.8077	7.86405	7.643299	7.54195	7.6886	8.8699	8.0342	8.0932	9.352249	7.9533	7.3911	8.55595	7.5439	8.2347	8.384	8.3696	8.375425	7.9308	7.5798	7.4991	7.4492	7.9117	8.1334	7.723	7.6094003	8.8501	7.2932	8.4054	6.7236004	8.50305	8.4837	6.87785	7.9049	7.9347	8.239	8.49935	7.0766	7.6336	7.90305	6.9275	6.66255	7.4488	7.72505	8.05555	7.5586	7.3451	7.7792	7.0183	7.6287003	8.0244	8.1441	7.8875084
ABCC5	5.00315	5.3800497	5.68045	5.77745	5.25095	5.0038	5.0856247	5.4473	4.9804254	5.0679502	5.189575	4.64555	5.06525	4.9856997	5.1755247	5.282475	4.66695	4.84105	4.919	5.2653	5.646	4.9346	5.47635	5.2474003	4.7771	4.6213	4.6913	4.4712496	4.3761	3.69175	3.4561	4.101325	4.1744	4.8562	4.0704	4.3822	4.0768003	4.78545	4.4632	5.47005	4.7866	4.8068	5.065	4.9072	4.26475	4.9746	4.9793	5.3825	4.8538	5.2626	4.2471	3.7407	4.0281	4.7913	4.2972	4.91955	5.2001	4.4795	5.0824	5.302	5.0401	5.1967	9.6078	4.7507	5.2046	4.917751
ABCF1	10.38415	10.49275	10.377501	10.2552	10.8085	10.1598	11.23225	10.69795	10.4648	10.3452	10.142975	10.533501	9.79265	9.758575	10.416775	10.570749	9.61215	7.8683996	8.2233	8.9934	8.4693	9.8574	8.5148	8.690599	9.9522	9.529	9.9701	9.7493	12.17265	11.8153	11.89425	12.77765	9.8068	10.1579	9.4708	8.51	9.3863	10.758	9.376	9.9379	10.5125	10.3503	10.6635	8.8639	10.1182	8.7385	9.2706	9.137	9.0515	9.0042	9.8628	10.7436	9.4021	9.9608	11.2225	11.0379	11.0707	11.461	10.5459	10.3762	10.4407	9.3493	8.6473	10.1457	9.0621	10.014855
ABCF3	7.48775	6.14765	6.3058996	6.706	5.7225	7.6057997	8.3626	7.92765	7.422625	8.6345005	7.515025	7.561825	8.23995	7.64225	7.97165	8.891251	8.3703	8.811899	8.563	8.7284	8.724	8.38715	8.8709	8.2388	7.4015503	7.5915003	8.0478	8.0291	7.2932997	7.7649503	7.83605	7.85075	7.9917	7.8661	8.0056	7.6637006	8.44725	8.2309	7.2488	7.2478504	6.6933002	7.8395	6.3648996	7.8595	7.9971004	8.491	7.6725	8.1661	8.7237	8.7353	5.8942	6.6934004	6.9632	8.4838	5.9533	7.5212	8.2784	6.8731003	7.19405	7.544	7.7915	7.634	7.6629	7.1876	8.07525	7.7176785
ABHD6	6.48545	6.5719	7.5401497	6.571225	7.7313004	8.31625	6.557775	8.262051	7.9098997	6.6040754	6.4551	8.134701	6.4951496	8.7963505	6.3004503	6.167775	6.6391006	5.9170504	6.2992	6.6499996	6.4630003	6.4938	6.4009	6.43075	5.5978003	5.6566	5.8085	5.81735	6.91675	7.26735	6.91935	8.690575	6.4512	6.3622	6.51425	6.2935	6.60835	6.9682	6.402	6.4597	6.4293003	6.3465	6.2149	8.92155	7.2966	9.0889	6.9709	6.8580503	6.7479	6.5553	7.3699	8.0009	6.5689	7.1201	7.9009495	8.004999	6.7844	6.78745	6.6947002	6.4307	6.6556	8.5252	8.4715	6.55585	6.75675	6.938229
ABL1	8.35865	9.19915	8.999849	9.2497	9.1032	6.7716503	7.4146	7.613199	7.5149	6.8897	6.9672003	7.43475	8.351601	8.051849	8.09395	8.3377495	8.5245	8.2519	8.2618	8.818	8.3304	8.6122	8.4265	8.2	7.7327	12.1407	7.5838003	7.3437996	7.0305	6.960125	6.7176504	6.74785	7.6127	7.8727503	7.57915	7.7427006	7.9893	8.2881	10.0782	8.4629	8.0785	8.1569	8.7065	7.8618007	7.97235	8.1764	7.9934998	8.3816	8.6444	8.3662	6.9775	7.2831	7.4121	8.0736	6.5175	7.04825	7.179	8.1846	7.8755994	8.7153	8.63425	8.15675	8.3427	8.0875	8.61435	8.047696
ACAA1	7.0559	7.6085	7.58125	7.7782	7.4799247	6.781275	6.476275	6.9989004	6.892425	7.0961246	6.9325	6.6457	8.74865	6.365925	6.91955	6.7352	7.43985	7.3839006	7.2234	7.53425	7.7313004	7.3739996	7.62945	7.6136	7.32975	8.24945	8.3368	6.818	6.33845	5.5769997	5.09125	5.5800753	6.4324503	6.3456	5.7592	6.1708	6.5047	5.7661	6.3321	7.2323	6.5179	6.9874	6.9881	6.64635	6.6605	7.2937	7.0305	7.1316	7.2561	7.1776	6.2257	6.1616	6.7396	7.4101	5.4696503	6.1861	6.8106	6.5877	6.7176	6.8753	7.0147	6.3705	5.67875	6.64345	7.0939	6.854847
ACBD3	6.7352	4.7353	4.9477997	5.940025	5.135575	7.2129	7.8708	6.71215	6.63715	7.6119003	7.49965	6.60165	8.147	8.81395	7.8131	8.790649	8.84235	8.5758	8.2423	9.0283	8.3336	9.306	8.9999	7.963	7.4924498	7.3820004	7.7861	7.70115	6.48785	7.333	6.9376	7.0904503	7.8817	7.3389997	6.3625	7.9976	8.1702	7.6883497	6.724	7.178	5.7584	7.0047	5.5048	7.09665	6.7925	7.9826994	9.1548	8.8279	8.5246	8.56635	7.2916	5.9516	6.2973	8.0015	6.54395	7.7217	8.1305	7.6414003	6.8617	6.7682	6.845	7.4227	7.1162	7.092	7.6426	7.3936825
ACD	9.9133	10.28415	10.403601	9.78555	10.231501	9.911249	9.09165	9.46655	9.65925	9.388275	9.6439495	9.440849	10.979	4.3184	11.407049	10.9741	9.7821	9.489	9.5762	9.46255	10.0655	10.3966	10.1467	10.324551	8.256399	8.0783	8.0948	7.8978	10.4257	10.5773	10.6053	5.4345503	10.6021	10.014	11.015699	10.9636	10.621099	9.50765	9.5908	10.3832	9.9812	9.9028	10.0977	11.079	11.0612	10.3282	10.2136	10.10515	9.8281	10.309601	10.8303	11.3398	11.0634	10.5771	12.4571	10.6696	9.5451	11.11825	11.0487	10.3395	10.504049	10.6637	11.1313	10.8203	10.5022	10.026567
ACLY	8.86175	9.79525	9.50865	9.845949	9.12985	9.07495	8.5417	8.64325	9.215651	8.8545	9.32835	8.7838	8.8556	8.35445	8.7705	8.3324	9.3607	9.1201	9.4755	9.660999	9.2982	9.6415	9.4817	9.3053	9.6833	9.4927	9.7357	9.9425	7.3382254	7.5007	7.7178497	7.228675	8.6446	8.46825	8.4157	9.0427	9.4461	9.1463	9.8615	9.6437	8.8468	8.98885	9.4183	8.5649	8.52725	9.655	9.1822	9.8611	9.8154	9.3046	8.468	7.9775	8.38625	9.4995	7.5871997	8.4616	8.7014	7.424	8.3406	8.8539	9.0254	7.847	8.0807495	8.9256	9.4186	8.918628
ADAM10	6.843325	7.51855	7.2364497	7.86025	7.1847	6.99245	7.0169	7.1565495	7.33605	7.217125	7.7611995	6.8583	7.0002	6.5565996	7.457225	6.6538	8.7009	8.2941	8.9292	11.3065	8.8933	8.65115	8.9752	8.4513	7.9765	7.8417	7.9464	8.4002	7.9476	7.67815	7.9898996	7.8071003	6.32065	6.5702	6.4053	6.7752	7.03415	7.52865	7.5634003	7.7839	6.6068	6.8381	6.9328	6.8173	6.77035	7.1214	7.1357	8.063	7.8153	7.6884	5.9551	6.3551	6.4658	6.7527	5.8701	6.9922	7.2753	6.3567	6.5983	7.1639996	7.3188004	7.1434	6.4663	6.9828	7.5699	7.3765535
ADAT1	7.968025	7.79735	7.27965	6.8175497	7.984851	7.4598002	6.6988497	7.1040006	8.4592	7.12505	5.9551	6.99155	7.2312	7.288375	7.67315	7.1630754	6.9867	6.8052998	7.12385	7.4817	7.8064	7.7482	8.087299	10.046	6.8736005	6.4321	6.7172	6.5738	8.6241	8.686951	9.0173	8.6542	8.2219	7.7545	7.88515	7.91835	6.6244497	6.8793	6.59095	7.6075	8.1896	8.0395	7.5316	8.3254	9.4637	9.3365	9.9081	7.901901	7.94435	9.76355	8.9005	8.8412	9.9914	9.4073	8.5252	7.4417	7.24265	10.071	9.62055	8.0955	8.6267	9.9041	8.7725	8.5436	8.2099	7.9806395
ADCK3	5.873275	6.188825	6.2186003	6.6905746	5.795775	5.83875	5.505275	5.7144003	5.573125	5.84165	6.249075	5.1052	6.057475	5.695775	5.8742	6.3310747	5.9307003	6.023	5.96115	6.40685	6.20395	6.0368	5.9628	5.917	5.3418	5.2985	5.2605	5.0846	4.152975	4.1469	9.875299	3.9433	5.3814	5.37455	4.832	5.5231	6.3408	4.9879	5.65	6.3431	5.4976	5.65005	5.9094	5.4895	6.09765	6.0281	6.0912	6.2756	6.4518	6.3975	9.4769	5.2952	5.24	5.9728	4.61185	5.7779	5.4929504	5.13875	5.3544	6.0863	5.85385	4.819	4.4995	5.3943	5.93125	5.7748523
ADO	6.1427	5.5652	5.39935	6.3627	5.53295	6.1805754	6.0556498	6.3215504	6.22875	6.9104004	6.738	6.12505	6.094175	5.7548	6.015825	5.8196497	6.77975	6.7328997	6.7639003	6.7318006	6.709	6.6568	6.66785	12.9732	6.289	6.1958	6.4204	6.1709	6.1216497	5.8662	5.2001	5.5382004	5.8262	6.5213	5.1621	5.5654	6.5813	5.615	5.70195	6.2128	5.41575	6.2076	5.3697	6.0737	5.62595	6.4089	6.834	7.0153	6.9021	7.0534496	5.3948	5.3197	4.499	6.2848	5.2634	6.4456	6.3707004	5.824	5.9498	6.4524	6.1414	5.3129497	5.37405	6.0918	6.5033	6.190538
AKAP8	9.9419	8.8412	8.7761	9.12715	8.7948	9.845949	10.05155	10.1673	8.96515	9.719049	9.1506	10.1984	9.49395	9.515551	8.2544	7.974525	9.783501	8.7034	8.7981	8.9179	9.1462	8.8961	10.2113	8.94145	8.8517	8.7785	9.2602	9.1032	10.15375	7.6984997	9.588551	8.0521	8.9143	9.21435	8.7347	8.2677	8.6463	7.9432	8.6342	9.1932	8.60305	9.4077	9.5769	9.25975	7.8004	8.2924	8.09395	9.1922	9.2946	8.5323	8.7778	6.5981	7.8682	7.8785996	7.5830007	8.497	8.7014	7.9444	8.089	9.1982	8.8929	7.8616	8.9635	9.4248	8.7354	8.866418
AKAP8L	8.5215	9.0018	8.815599	8.223075	8.7948	6.8786	6.8288	5.9983497	7.02955	6.9175997	6.8486996	6.9208	8.838551	8.911125	7.110075	8.6159	7.5007997	7.114351	7.5715	4.9378	7.74785	7.7194	8.096149	7.735	7.7209	7.6395	7.7519	7.7902	6.86005	7.911775	6.2314	6.5882998	8.096251	7.6456	8.5843	7.3555	7.5923	7.8148003	8.4065	7.7639	7.2208	8.7434	7.7016	8.9612	6.3749	9.146	7.503	8.7857	7.5743	7.7452	6.2962	6.6819496	7.23145	7.6564	6.10675	6.7267	6.9392	6.9226503	8.3808	8.6732	7.8655	8.7845	8.24085	7.399	8.5319	7.640369
AKR7A2	10.8319	11.6453	11.1519	11.354876	11.122	11.4932	11.609225	11.738	11.8469	11.22155	11.7654	11.60555	10.7848	11.365575	10.5183	10.266775	11.9469	12.056	12.0262	12.004101	11.8797	12.2144	12.0782	11.8952	11.9223	11.8267	12.1028	12.1337	11.2565	11.89045	10.9828	11.145775	10.8001995	11.0572	10.5359	10.5736	11.4075	11.5998	11.9316	11.2285	10.933599	11.0965	11.1039	10.4705	10.5241	11.3227	10.7254	10.6299	10.363	10.7554	10.007	10.2161	10.3637	10.9868	10.1083	11.0908	11.1574	9.9877	9.957	10.8438	10.668	9.948999	9.9325	10.3714	10.2582	11.1175375
AKT1	9.492425	9.76005	9.7987995	9.994075	9.71385	9.48675	9.90685	9.307449	9.561501	9.1593	9.404776	9.67775	9.813999	9.3661995	9.5355	9.704025	9.2823	9.1419	9.3827	9.3024	9.3982	10.0114	9.6528	9.4022	9.5031	9.598249	9.5533	9.55475	10.2369	9.0413	8.6859	8.84145	8.6504	9.239	8.7782	8.8014	9.3638	9.2642	9.7495	9.1256	9.0532	9.348	9.2536	8.94835	8.542	9.2168	8.8494	9.4315	9.39975	9.2826	7.6858	7.6182003	8.1323	8.9886	7.6306	9.18215	9.2339	8.8484	8.3247	8.9962	9.35355	8.6014	8.5581	9.0727	9.4402	9.203634
ALAS1	11.8528	10.477699	10.294849	10.2918	11.101049	11.799299	12.2334	11.68055	12.3904	11.721701	12.3361	11.9732	11.8346	11.57645	13.532	11.9153	11.0322	10.9579	11.0646	10.9049	11.4433	11.1278	11.8138	11.749	11.5126	11.6372	11.451	11.8267	14.7395	15.0003	15.0	15.0	12.6137	12.2746	13.2576	12.6835	10.8126	12.3386	11.8772	11.4625	12.3168	12.0513	11.7291	13.3171	13.1375	11.9682	12.2189	11.8822	11.8521	11.9336	13.4995	13.4024	14.2698	12.4297	15.0	14.502	13.6742	13.5557	13.804	13.0954	13.0629	13.1745	13.7633	13.1908	13.2588	12.410494
ALDH7A1	8.7176	7.3352504	7.1864004	7.1867	8.220751	9.240601	7.1238494	7.78165	8.5604	8.895	7.888	8.57955	9.1542	6.6794996	9.3289	8.9937	6.906	7.0104	7.56635	8.093451	7.13755	7.2486	7.0328	6.9461	8.0132	8.1032	8.2667	8.0862	9.883551	10.1447	10.374725	10.29885	9.30725	8.76165	9.7292	9.0711	7.7931	8.9002	7.9785	7.72515	7.51095	7.5683	7.1708	8.1591	9.2767	8.3467	8.989	8.752	9.1048	9.0323	9.9314	9.6679	9.7735	8.9643	10.4889	9.7073	9.1913	9.7085	9.9794	8.9844	9.34645	7.3030005	9.4611	9.1419	8.1275	8.537508
ALDOC	9.492425	9.62605	9.1807995	10.117451	8.788875	10.103275	10.36195	10.01735	9.974951	8.05365	10.65	10.0314	9.93715	9.6449	9.93995	10.2436	9.8216	9.797501	9.9442	8.90085	8.9746	9.0667	8.7313	8.3807	9.4732	9.7129	9.485	9.716	7.9139004	8.17035	7.64425	7.34285	9.294849	9.1834	9.6709	8.4032	9.4308	9.3217	10.244551	9.060499	9.0668	9.8757	9.9616	8.8113	8.35855	10.4915	8.8003	9.4413	9.361401	9.6498	8.4102	7.81555	7.9153	8.6993	6.6935	8.3582	8.684	8.44035	8.0856	8.148	8.484	9.42455	9.5281	8.6123	8.87405	9.136013
AMDHD2	7.3563	8.601	8.876949	8.70115	7.9999	6.9843755	7.5967493	7.49205	8.4324	7.6861496	7.3450003	7.0696497	7.70655	7.233025	7.6218004	7.1889753	7.6535	7.3902	8.0348	7.3786	8.0247	7.8438	8.2828	7.9118004	7.8133	7.8707	9.87485	7.9485	7.2693	6.5036497	5.956	6.07235	6.7271	7.6522	7.2082	7.0489993	7.6495004	7.7835	8.5194	7.5842	7.1165	7.549	7.5875	7.3047	7.1792	8.236149	7.5918994	7.6881	7.4999	7.82145	6.316	6.18865	6.66415	7.3071	5.5941	6.6896496	6.9591	6.8811502	7.1283	7.22715	7.6503	6.3314	6.2501	7.1684995	7.7855997	7.4401484
ANKRD10	6.372225	5.94045	6.0023	6.63975	5.9609003	7.432725	6.93025	6.6731997	6.700025	7.24345	6.8946	6.58115	7.7914004	7.8684	7.16145	7.7250504	8.268	9.9343	8.3396	8.3325	8.1423	8.3109	8.3611	8.3577	7.7461	7.7163	7.9464	8.2148	6.89185	7.29885	7.567925	8.98955	6.60175	7.193	6.16505	6.5399	8.4873	8.1318	7.934	8.38205	6.7242	6.5958	6.0234	6.75875	7.106	6.9833	10.6004	8.74095	10.1964	8.6229	6.5629	6.39825	6.26685	7.7481	6.8077	7.3496	7.402	6.7741	6.9426	6.7937	7.0535	9.8468	6.89925	6.2709	7.00275	7.4498687
ANXA7	7.937975	7.28175	6.8011	8.066324	6.698925	7.32215	8.6473255	6.8088503	7.116025	8.415199	8.2185	7.0844	8.3748	6.698925	8.368851	8.868	9.4577	9.5886	9.453501	9.24225	9.1206	9.0007	8.913	8.80995	9.0103	9.19505	8.971701	8.94715	8.87345	8.6679	8.5449	7.97575	8.1736	8.5016	8.1288	8.28185	9.315001	8.0608	7.8768997	7.9264	7.677	8.2448	7.695	7.38225	8.4321	6.1441	8.9017	9.247999	8.9355	8.7906	6.39615	7.0003	7.4757	8.4192	6.5951004	7.0325	8.1475	8.05555	8.2696	7.7428994	8.0703	7.6171	7.57715	8.2772	8.5917	8.145623
APBB2	7.7734003	7.01685	7.55055	7.1619	7.5033503	6.9597	7.49935	6.9212503	6.9948006	6.9007998	6.5792	6.8861504	6.694025	6.2568502	7.4768	6.1634	5.9122	5.614	6.14295	6.0878	6.9022	6.5036	6.6904	10.4206	6.5438995	4.8398	6.2854	6.198	9.124849	10.4656	10.052225	11.472275	7.5689	7.3325	8.57	7.7829	6.2769	6.4474	6.1209	6.7222004	7.121	7.0635004	7.378	8.9801	8.9019	6.8589497	7.4375496	7.0784	6.8851	6.9305	9.8985	9.10585	9.9327	7.5019503	10.2472	8.36545	7.5709	11.2592	9.5611	7.9918	8.6235	8.4596	7.7163	7.6071	7.7184005	7.609391
APOE	6.4959	6.52365	6.8712997	6.74135	6.820075	7.0057	6.42425	6.72185	6.79215	6.71105	6.7812	6.1951	6.50215	6.4024	6.466475	6.111575	5.31835	5.0598497	6.18295	6.3245497	5.8944	6.4736	5.6342	6.1854	5.0017	5.0321	4.906	4.77315	6.51365	6.211925	6.08605	6.092425	6.9898005	6.65125	7.05395	6.3174	7.0171504	6.2393	5.5082	6.7695994	6.2824497	6.6324	6.6632	7.3677	6.51575	6.81945	7.4969	6.61425	6.9958	6.7802	7.2759	7.9048	7.4265003	7.6897	7.6349	6.6412	6.5776	6.8365	6.5495	7.0047	6.58635	6.7568	7.4636993	6.5331	6.62295	6.5150065
APPBP2	5.71455	4.9715	5.70875	5.28105	5.135575	5.95885	6.5223	5.4235497	5.23145	5.4518747	5.905925	5.6334	5.10635	5.4139	5.0327	5.46325	6.6632	6.2457	6.2868	6.37595	6.2145	6.5705004	6.3201	6.13065	6.0277	6.2655	6.1766	6.2509003	8.5415	8.56675	8.4196	8.8958	5.8798	6.6636	6.2496	6.1419	6.08365	5.9716997	4.98385	5.1724	5.5762	6.1206	5.38905	6.8663	7.2331	6.07375	5.9917	6.5542	6.2923	6.4498	5.557	6.0167	6.3976	6.3946	7.2434998	6.8019	6.4171	6.622	6.4117994	5.8447	6.31895	6.5609	6.6913	6.4138	6.4372997	6.2112207
