pr_gene_symbol	DER001_A549_96H_X1_B7_DUO52HI53LO:G03	DER001_A549_96H_X1_B7_DUO52HI53LO:I02	DER001_A549_96H_X1_B7_DUO52HI53LO:L18	DER001_A549_96H_X1_B7_DUO52HI53LO:M24	DER001_A549_96H_X1_B7_DUO52HI53LO:N02	DER001_A549_96H_X1_B7_DUO52HI53LO:N03	DER001_A549_96H_X2_B7_DUO52HI53LO:B09	DER001_A549_96H_X2_B7_DUO52HI53LO:G03	DER001_A549_96H_X2_B7_DUO52HI53LO:I02	DER001_A549_96H_X2_B7_DUO52HI53LO:L18	DER001_A549_96H_X2_B7_DUO52HI53LO:N02	DER001_A549_96H_X2_B7_DUO52HI53LO:N03	DER001_A549_96H_X3_B7_DUO52HI53LO:B09	DER001_A549_96H_X3_B7_DUO52HI53LO:C01	DER001_A549_96H_X3_B7_DUO52HI53LO:G03	DER001_A549_96H_X3_B7_DUO52HI53LO:I02	DER001_A549_96H_X3_B7_DUO52HI53LO:N02	DER001_A549_96H_X3_B7_DUO52HI53LO:N03	KDD001_A549_96H_X3_F1B5_DUO52HI53LO:O11	KDD001_A549_96H_X3_F1B5_DUO52HI53LO:O12	KDD001_A549_96H_X3_F1B5_DUO52HI53LO:P11	KDD001_A549_96H_X3_F1B5_DUO52HI53LO:P12	KDD003_A549_96H_X3_B6_DUO52HI53LO:O11	KDD003_A549_96H_X3_B6_DUO52HI53LO:O12	KDD003_A549_96H_X3_B6_DUO52HI53LO:P11	KDD003_A549_96H_X3_B6_DUO52HI53LO:P12	KDD009_A549_96H_X1_F1B5_DUO52HI53LO:O11	KDD009_A549_96H_X1_F1B5_DUO52HI53LO:O12	KDD009_A549_96H_X1_F1B5_DUO52HI53LO:P11	KDD009_A549_96H_X1_F1B5_DUO52HI53LO:P12	mean
AARS	11.0994	10.466775	10.6539	10.6374	10.95035	9.354099	10.47785	8.3654	10.8521	8.987949	10.56115	8.919476	10.05745	10.8325	10.63225	10.67635	10.711849	10.1963	11.655849	11.4643	11.5355	11.6007	12.9461	15.0	15.0	15.0	11.284201	11.3398	11.35345	10.8736	11.116202
ABCB6	8.24855	8.06595	7.7701993	7.0023003	8.033124	7.1571503	7.0261	8.605225	7.59315	5.7104	7.979375	7.9133997	7.4832506	7.5469503	7.69775	7.7483	8.09515	6.6433496	9.56565	9.7148	6.9419	9.812	8.0927	8.25635	8.89365	8.6786	6.8803997	6.81875	9.59645	8.904525	7.949182
ABCC5	5.406525	5.1026	4.8541	4.53245	4.47655	4.1338253	4.1052504	4.5802	4.38135	6.775125	4.60585	4.2145	5.2281	4.308475	4.039775	4.7063	4.5942497	3.8212001	4.2076	3.94965	3.8958	4.4377	4.2077503	3.919625	4.03205	4.3287	3.4731998	3.773575	3.391125	3.69575	4.372632
ABHD4	10.2103	9.61	9.6946	9.5077	10.064125	10.418249	9.3671	10.271351	9.464174	9.446725	9.9552	10.063	9.74695	9.31105	9.7659	9.565149	9.8977	8.96055	8.3279	10.0189	8.14805	8.295549	6.005425	9.1638	6.0074	6.65725	10.3836	8.804575	11.367175	9.3688	9.262277
ABL1	8.711	9.3878	8.5022	9.1068	9.6887	8.319025	9.34885	8.31425	8.6848	8.4492	9.80075	9.6315	9.7248	8.9823	9.5977	8.498051	9.65115	7.5942507	8.06385	10.9806	10.7895	9.08675	7.5142	6.49495	6.5533	8.38455	7.4369497	7.58395	7.25175	7.8653994	8.666629
ACAA1	8.7663	7.7094	9.030825	7.0308	8.860001	8.736	7.113	8.7268	7.41175	3.8399749	7.8873	9.290575	7.58545	6.551325	8.760575	8.54965	7.5669	8.59015	6.9994	9.5246	7.2254	7.6415997	6.22035	6.09165	6.4607	6.4041753	6.908825	9.277725	7.114775	9.458401	7.711146
ACAT2	9.2737255	9.242701	9.2819	9.25945	10.3632	3.7168999	9.665251	8.9865	9.398225	9.446725	9.4886	3.93205	8.79775	9.6937	9.1554	9.212475	8.757525	9.606251	11.368	11.3528	10.6354	10.3539	12.86565	12.6458	12.64345	13.1283	11.45385	11.63895	11.58255	11.811251	9.958607
ACBD3	7.3335752	7.79205	7.0814	7.59785	6.9755	6.052225	5.6356997	6.4849	7.088875	6.72235	7.0948	5.395625	4.47925	5.17365	5.7281504	5.5476246	5.41765	4.57695	5.4365	5.8236	5.5975	6.3231	4.58235	4.38715	4.7476997	4.4985	5.4975	5.2287498	4.8712	5.548625	5.82402
ACLY	11.2734	11.603849	12.265699	11.55765	11.23575	11.0833	11.78905	11.30035	11.8572	7.98945	11.75835	11.603849	12.42415	11.2071495	11.509251	11.3015995	11.808849	11.026225	12.4933	12.2068	13.02	13.039	11.4438	11.1408	10.95505	11.6502	13.392099	12.845699	12.9084	14.07665	11.792232
ADAT1	9.466499	7.6891	8.3713	10.5953	7.3704753	7.12195	8.042049	6.7431	7.3783503	8.4492	6.6065	6.164075	8.146251	10.1088505	8.411275	8.829149	7.8534007	10.8521	7.7077	8.0125	7.9197006	7.0457	7.926975	8.377975	8.5463505	7.30585	8.3674	8.5593	8.5407505	8.297075	8.160207
ADCK3	4.71955	5.0421	4.57785	3.594475	12.4216	3.56565	4.5997	12.87715	5.0502253	5.176175	4.948725	5.5764003	5.03445	4.13055	4.1929502	4.5872498	4.7064753	3.9119	4.2401	4.2307	4.01985	4.7161	4.1511497	3.8581	4.0647	4.1990747	3.3534498	3.773575	3.722825	4.1802	4.9074335
ADH5	11.0445	11.38615	11.06275	10.9627	10.9686	10.84095	11.4954	11.3298	11.597549	4.1615	11.2607	10.9265	11.3701	8.9525	10.8566	11.1339	11.16885	10.81645	10.9249	9.464399	8.835051	10.3871	13.2896	8.327049	8.00665	8.9492	10.05215	13.325251	10.099275	10.6194	10.453852
ADI1	8.3217	7.84735	7.7643	7.961575	8.087674	6.7318	7.62395	4.7465496	7.69675	4.0556498	8.44315	7.1963	6.4552	6.8914003	5.62105	7.0512	6.89445	5.8808002	5.7132	8.3078	8.377599	8.7598	5.9663	5.89755	5.83825	5.6005	8.5928	8.853149	6.508325	8.454451	7.0713525
