pr_gene_symbol	DER001_HT29_96H_X1_F1B6_DUO52HI53LO:B09	DER001_HT29_96H_X1_F1B6_DUO52HI53LO:C01	DER001_HT29_96H_X1_F1B6_DUO52HI53LO:G03	DER001_HT29_96H_X1_F1B6_DUO52HI53LO:I02	DER001_HT29_96H_X1_F1B6_DUO52HI53LO:L18	DER001_HT29_96H_X1_F1B6_DUO52HI53LO:M24	DER001_HT29_96H_X1_F1B6_DUO52HI53LO:N02	DER001_HT29_96H_X2_F1B6_DUO52HI53LO:B09	DER001_HT29_96H_X2_F1B6_DUO52HI53LO:C01	DER001_HT29_96H_X2_F1B6_DUO52HI53LO:G03	DER001_HT29_96H_X2_F1B6_DUO52HI53LO:I02	DER001_HT29_96H_X2_F1B6_DUO52HI53LO:L18	DER001_HT29_96H_X2_F1B6_DUO52HI53LO:M24	DER001_HT29_96H_X2_F1B6_DUO52HI53LO:N02	DER001_HT29_96H_X2_F1B6_DUO52HI53LO:N03	DER001_HT29_96H_X3_F1B6_DUO52HI53LO:B09	DER001_HT29_96H_X3_F1B6_DUO52HI53LO:G03	DER001_HT29_96H_X3_F1B6_DUO52HI53LO:I02	DER001_HT29_96H_X3_F1B6_DUO52HI53LO:L18	DER001_HT29_96H_X3_F1B6_DUO52HI53LO:M24	DER001_HT29_96H_X3_F1B6_DUO52HI53LO:N02	DER001_HT29_96H_X3_F1B6_DUO52HI53LO:N03	KDA003_HT29_96H_X4_B5_DUO52HI53LO:H01	KDA003_HT29_96H_X4_B5_DUO52HI53LO:H04	KDA003_HT29_96H_X4_B5_DUO52HI53LO:K09	KDB002_HT29_96H_X1_B2_DUO52HI53LO:F16	KDB002_HT29_96H_X1_B2_DUO52HI53LO:H21	KDB002_HT29_96H_X1_B2_DUO52HI53LO:I10	KDB002_HT29_96H_X1_B2_DUO52HI53LO:I13	KDB008_HT29_96H_X1_B2_DUO52HI53LO:A08	KDB008_HT29_96H_X1_B2_DUO52HI53LO:B11	KDB008_HT29_96H_X1_B2_DUO52HI53LO:M05	KDB008_HT29_96H_X1_B2_DUO52HI53LO:N18	mean
AARS	10.1579	10.606	10.0133	9.76725	9.9536	10.0127	9.862	9.97965	10.4766	10.0786	10.034	10.0101	10.3159	9.2563	9.54835	9.8888	9.9093	9.9269	10.0733	10.2631	9.6414	10.2576	10.1436	10.1576	8.9043	8.9647	8.8679	9.3002	9.0766	9.5772	9.6142	10.0345745	9.8871	9.83517
ABCB6	6.9591	8.3519	8.3284	7.7895994	6.3141	8.6877	8.4338	7.82325	8.8446	8.2692	7.3211	8.7662	8.2677	8.3935	7.64615	7.4407	8.2909	8.3352	8.491699	7.3102503	8.7386	9.1304	7.2209	6.1675	6.2093	8.4102	7.3878	8.2941	8.37525	8.6458	8.048	8.909901	8.814425	8.012644
ABCC5	4.3414	5.2012	4.4458	4.7932	4.45195	4.4738	4.47885	4.182	4.0064	4.7404	7.80245	4.5942	4.1023	4.5019	5.8489	4.8549	4.202	3.9731002	4.7095	4.6272497	4.9235	4.82595	3.8389	3.7477	3.9775	4.194275	4.3862	4.1087003	4.686	4.6637	4.256275	4.45125	5.0029	4.5877075
ABCF1	11.3949	12.8774	11.3627	11.4447	11.8171	11.6653	11.3413	11.8254	12.9193	11.9162	9.50985	11.6933	12.1968	12.3572	12.2531	11.5375	11.5875	11.6287	11.712	11.8119	11.9126	12.1713	10.93325	10.31695	10.5349	10.4405	9.5804	9.4821	9.6605	9.862101	10.0935	10.107849	10.561649	11.227569
ABHD6	6.2889	6.1967	5.7924	5.89395	5.9551	5.71735	5.8478	5.8903	6.327	5.6731997	8.5608	5.8425	5.4863	5.9113	5.8489	5.58665	5.531	5.9023	5.58665	5.74825	5.85685	6.2344	7.2094	7.7622	7.9655	5.9021	6.3957	5.9365997	6.12535	6.2822	5.89935	5.816225	6.0601	6.152525
ABL1	5.2494	7.9024	5.4571	7.3692	7.892	6.08865	7.5605497	7.0175	7.7193	7.64185	4.72565	6.36695	6.6428	6.0504	9.0644	5.8796	7.38575	7.6795	5.99135	7.7446003	7.8851004	8.8066	6.9005003	5.6975	7.7321	7.3549995	6.37825	7.3985496	6.3840504	6.551	7.43585	7.5808992	6.722125	6.977469
ACAA1	8.6386	7.5554	8.8108	8.2977	6.4516	8.0887	8.6499	8.5174	8.371651	10.2805	10.171	8.4214	8.33375	7.9952006	10.9689	8.4239	8.129	8.0941	8.4156	10.3747	9.93655	9.759	7.2509	9.1149	8.80695	7.50095	8.96125	8.881	7.4109	6.8730497	7.036275	7.3311	7.3662	8.461177
ACAT2	10.6092	10.6896	10.151	9.83445	12.3097	11.0628	6.0956	3.9147	9.7013	10.5751	11.2563	10.6463	10.5623	8.8812	10.895	10.7528	10.4895	10.0814	10.8771	10.801	10.9472	13.1889	8.8189	9.8527	10.2467	10.4081	10.726351	10.7763	10.07925	10.55375	11.1046	10.52865	10.770849	10.248139
ACBD3	5.5479	5.76435	5.2893	6.3692	4.4196	5.58665	5.6776	5.2312	3.7133	6.1563	4.0302	5.5766	4.9073	3.56835	4.73695	5.1958	5.4651	5.3635	5.5774	5.3403	5.5114	4.14985	7.8595	4.0362997	4.1267	7.4948506	9.0108	6.77855	8.9085	8.005375	7.710425	7.95625	7.6361	5.8394394
ACD	11.1218	9.811701	10.2058	10.0146	9.93165	7.33505	10.0417	10.5322	10.18	9.60735	5.3266	9.5121	10.6185	10.0091	7.6658	10.2836	10.3827	9.5497	10.059	9.9369	9.77345	9.8029	10.58	10.9821	11.6709	8.8413	8.7904	8.3244	9.01	8.94805	7.51085	9.2034	7.5858994	9.489379
