ID	Accession	Target.gene.symbol	Files	Biosample.accession	Biological.replicate	Technical.replicate
/experiments/ENCSR031RRO/	ENCSR031RRO	NA	/files/ENCFF803FSB/,/files/ENCFF361RLP/,/files/ENCFF043VJU/,/files/ENCFF827KTS/,/files/ENCFF200WXE/,/files/ENCFF569CWO/,/files/ENCFF056FCE/,/files/ENCFF230FOJ/,/files/ENCFF253IWD/,/files/ENCFF108AVC/,/files/ENCFF859GUO/,/files/ENCFF094YMK/,/files/ENCFF567TWJ/,/files/ENCFF849RPY/,/files/ENCFF083QIO/,/files/ENCFF419UWR/,/files/ENCFF784AXU/,/files/ENCFF050CUP/,/files/ENCFF302UBD/,/files/ENCFF534HZX/,/files/ENCFF590XZE/,/files/ENCFF777HTI/,/files/ENCFF519WJE/,/files/ENCFF097VLY/,/files/ENCFF947RLZ/,/files/ENCFF733CZC/,/files/ENCFF272FNP/,/files/ENCFF284XCY/,/files/ENCFF923LBN/,/files/ENCFF006RAG/,/files/ENCFF243UWP/,/files/ENCFF401UMC/,/files/ENCFF144HHG/,/files/ENCFF342RVQ/,/files/ENCFF974ULK/,/files/ENCFF420GNS/,/files/ENCFF803HSJ/,/files/ENCFF665EIC/,/files/ENCFF651DDH/,/files/ENCFF211TYE/,/files/ENCFF148XKW/,/files/ENCFF602HXH/,/files/ENCFF538ODW/,/files/ENCFF435NBC/,/files/ENCFF455GTW/,/files/ENCFF631CPZ/,/files/ENCFF835BNO/,/files/ENCFF840VCF/,/files/ENCFF278POY/,/files/ENCFF256DQQ/,/files/ENCFF974YXC/,/files/ENCFF123IYA/,/files/ENCFF306VXJ/,/files/ENCFF377GFU/,/files/ENCFF233NPT/,/files/ENCFF143ZEX/,/files/ENCFF485ZUM/,/files/ENCFF402MGG/,/files/ENCFF258YJA/,/files/ENCFF513CBO/,/files/ENCFF080YKC/,/files/ENCFF815ZLH/,/files/ENCFF138EDI/,/files/ENCFF061ZBS/,/files/ENCFF972SEZ/,/files/ENCFF863NFY/	ENCBS745CIF,ENCBS140NYG	1,2	1
/experiments/ENCSR771ZZL/	ENCSR771ZZL	NA	/files/ENCFF002BOU/,/files/ENCFF002BOV/,/files/ENCFF002BOW/,/files/ENCFF002BOX/,/files/ENCFF002BOY/,/files/ENCFF002BOZ/,/files/ENCFF002BPA/,/files/ENCFF002BPB/,/files/ENCFF002BTC/,/files/ENCFF002BTD/,/files/ENCFF002CAH/,/files/ENCFF002CAI/,/files/ENCFF002CAJ/,/files/ENCFF002CAK/,/files/ENCFF545JSC/,/files/ENCFF787RIO/,/files/ENCFF912JFF/,/files/ENCFF856VUB/,/files/ENCFF734KGB/,/files/ENCFF733NMR/,/files/ENCFF387KHN/,/files/ENCFF982QSK/,/files/ENCFF480GOV/,/files/ENCFF781LWU/,/files/ENCFF846AFT/,/files/ENCFF546CUV/,/files/ENCFF779ENY/,/files/ENCFF060IRF/,/files/ENCFF338JNQ/,/files/ENCFF368ECH/,/files/ENCFF455FRS/,/files/ENCFF635CHS/,/files/ENCFF020PHZ/,/files/ENCFF369HIS/,/files/ENCFF105AFU/,/files/ENCFF805VEB/,/files/ENCFF322JZV/,/files/ENCFF966OZW/,/files/ENCFF985IUE/,/files/ENCFF395JOH/,/files/ENCFF911WCQ/,/files/ENCFF984IVL/,/files/ENCFF021UGT/,/files/ENCFF179HUX/,/files/ENCFF667UOI/,/files/ENCFF051KKD/,/files/ENCFF057NHL/,/files/ENCFF028MKZ/,/files/ENCFF529GCR/,/files/ENCFF943LBR/,/files/ENCFF029FHI/,/files/ENCFF863JEC/,/files/ENCFF318FCO/,/files/ENCFF004YPQ/,/files/ENCFF667YYK/,/files/ENCFF194KFQ/,/files/ENCFF423YGW/,/files/ENCFF816QMB/,/files/ENCFF196CTX/,/files/ENCFF907YRV/,/files/ENCFF916PLD/,/files/ENCFF798AIP/,/files/ENCFF284RVD/,/files/ENCFF808CTK/,/files/ENCFF846YZP/,/files/ENCFF181PFX/	ENCBS430DZA,ENCBS396WFI	2,1	1
/experiments/ENCSR438MDN/	ENCSR438MDN	NA	/files/ENCFF292YLK/,/files/ENCFF629XES/,/files/ENCFF034YJI/,/files/ENCFF845QQB/,/files/ENCFF088UWN/,/files/ENCFF239MNY/,/files/ENCFF949STA/,/files/ENCFF777DGE/,/files/ENCFF956IUU/,/files/ENCFF961SOT/,/files/ENCFF691GGD/,/files/ENCFF675QXR/,/files/ENCFF787GBA/,/files/ENCFF096JIT/,/files/ENCFF597ZVP/,/files/ENCFF902OXN/,/files/ENCFF219SMN/,/files/ENCFF530NEM/,/files/ENCFF444GVW/,/files/ENCFF506MVA/,/files/ENCFF361PEL/,/files/ENCFF883PLM/,/files/ENCFF918VZY/,/files/ENCFF872VSV/,/files/ENCFF051CXY/,/files/ENCFF084YGC/,/files/ENCFF013LKP/,/files/ENCFF775HZV/,/files/ENCFF073URL/,/files/ENCFF774XTS/,/files/ENCFF174WAL/,/files/ENCFF771OAW/,/files/ENCFF464JBW/,/files/ENCFF939PHJ/,/files/ENCFF591BFL/,/files/ENCFF472FHL/,/files/ENCFF766BTU/,/files/ENCFF737OTU/,/files/ENCFF572IML/,/files/ENCFF677GXO/,/files/ENCFF251TEW/,/files/ENCFF322ZMR/,/files/ENCFF776UNH/,/files/ENCFF355OCY/,/files/ENCFF693VGU/,/files/ENCFF740QDS/,/files/ENCFF229QIJ/,/files/ENCFF437SWV/,/files/ENCFF685HVD/,/files/ENCFF465GFZ/,/files/ENCFF094PAZ/,/files/ENCFF802VNT/,/files/ENCFF699LOO/,/files/ENCFF590XSZ/,/files/ENCFF575CSU/,/files/ENCFF118YSM/,/files/ENCFF731HFC/,/files/ENCFF491IGP/,/files/ENCFF269PLB/,/files/ENCFF415PNE/,/files/ENCFF115KKF/,/files/ENCFF280DJL/,/files/ENCFF973VHI/,/files/ENCFF299HTM/,/files/ENCFF565ENH/,/files/ENCFF591XCW/	ENCBS800RVX,ENCBS530MLH	1,2	1
/experiments/ENCSR774AEQ/	ENCSR774AEQ	NA	/files/ENCFF060SHK/,/files/ENCFF593EMC/,/files/ENCFF108KTH/,/files/ENCFF051YSC/,/files/ENCFF907HZS/,/files/ENCFF659TTG/,/files/ENCFF460BEY/,/files/ENCFF379HVT/,/files/ENCFF362TGC/,/files/ENCFF685JRO/,/files/ENCFF352BWA/,/files/ENCFF443YQR/,/files/ENCFF971TOR/,/files/ENCFF667HUC/,/files/ENCFF478TFU/,/files/ENCFF897UWN/,/files/ENCFF902YCM/,/files/ENCFF483FNC/,/files/ENCFF472FQI/,/files/ENCFF123SER/,/files/ENCFF444AVP/,/files/ENCFF769QRF/	ENCBS922JMC,ENCBS645VVV	1,2	1
/experiments/ENCSR118EFE/	ENCSR118EFE	NA	/files/ENCFF872SLD/,/files/ENCFF766SOB/,/files/ENCFF076BTH/,/files/ENCFF276SQQ/,/files/ENCFF528NYY/,/files/ENCFF355KZZ/,/files/ENCFF949VOM/,/files/ENCFF660UES/,/files/ENCFF343KTM/,/files/ENCFF781GCB/,/files/ENCFF242PYL/,/files/ENCFF014DIB/,/files/ENCFF227XIE/,/files/ENCFF638AAB/,/files/ENCFF227FZS/,/files/ENCFF206GOQ/,/files/ENCFF788HBE/,/files/ENCFF738LXB/,/files/ENCFF999SAF/,/files/ENCFF908CPP/,/files/ENCFF955RLK/,/files/ENCFF302BQF/,/files/ENCFF862XES/,/files/ENCFF005IBG/,/files/ENCFF026SLE/,/files/ENCFF075YFJ/,/files/ENCFF469CVT/,/files/ENCFF954ZEF/,/files/ENCFF149TVA/,/files/ENCFF795VPT/,/files/ENCFF771IOH/,/files/ENCFF658WZI/,/files/ENCFF814LZN/,/files/ENCFF368ZCE/,/files/ENCFF704ZXJ/,/files/ENCFF102OCP/,/files/ENCFF541RWE/,/files/ENCFF568ZNA/,/files/ENCFF856NPQ/,/files/ENCFF024FBM/,/files/ENCFF006LUS/,/files/ENCFF716UFC/,/files/ENCFF199LOX/,/files/ENCFF834QNU/,/files/ENCFF413IDF/,/files/ENCFF891SRW/,/files/ENCFF109ALP/,/files/ENCFF561NCQ/,/files/ENCFF279MBO/,/files/ENCFF369RJP/,/files/ENCFF463ZJZ/,/files/ENCFF544NUM/,/files/ENCFF179FFD/,/files/ENCFF947BYV/,/files/ENCFF085HXL/,/files/ENCFF396WTZ/,/files/ENCFF525RTI/,/files/ENCFF855CNK/,/files/ENCFF498GOT/,/files/ENCFF085LQO/,/files/ENCFF671DXT/,/files/ENCFF744HAK/,/files/ENCFF454VDO/,/files/ENCFF926PLI/,/files/ENCFF333ZSQ/,/files/ENCFF938NFY/	ENCBS975JQF,ENCBS854WQM	1,2	1
/experiments/ENCSR092WKG/	ENCSR092WKG	NA	/files/ENCFF002UOR/,/files/ENCFF508KBY/,/files/ENCFF864TPH/,/files/ENCFF316CCA/,/files/ENCFF871DVA/,/files/ENCFF746YUL/,/files/ENCFF816PNM/,/files/ENCFF690KDS/,/files/ENCFF382MSU/,/files/ENCFF030LDZ/,/files/ENCFF190YCP/,/files/ENCFF411KBV/,/files/ENCFF074WTM/,/files/ENCFF038SUT/,/files/ENCFF277MVN/,/files/ENCFF711JSS/,/files/ENCFF358GBU/,/files/ENCFF046YKO/,/files/ENCFF341RWA/,/files/ENCFF902OMI/,/files/ENCFF240YWP/,/files/ENCFF316RQA/,/files/ENCFF819ZVG/,/files/ENCFF010CNS/,/files/ENCFF155ZJN/,/files/ENCFF601IUN/,/files/ENCFF354PMU/,/files/ENCFF108EKN/,/files/ENCFF079DNC/,/files/ENCFF702YWZ/,/files/ENCFF904PVZ/,/files/ENCFF614YYL/,/files/ENCFF047XVF/,/files/ENCFF836FZH/,/files/ENCFF520TCL/,/files/ENCFF225MRD/,/files/ENCFF455ZYF/,/files/ENCFF331JAP/,/files/ENCFF382VQS/,/files/ENCFF246ZVV/,/files/ENCFF115QML/,/files/ENCFF440EAZ/,/files/ENCFF733IPD/,/files/ENCFF433KXW/,/files/ENCFF835JXL/,/files/ENCFF512RLO/,/files/ENCFF914KGT/,/files/ENCFF866DBE/,/files/ENCFF281DJS/,/files/ENCFF754WTU/,/files/ENCFF892EVK/,/files/ENCFF668QDE/,/files/ENCFF680FLW/,/files/ENCFF917SYF/,/files/ENCFF956ZVM/,/files/ENCFF146IFO/,/files/ENCFF332JSL/,/files/ENCFF082JLG/,/files/ENCFF936NVB/,/files/ENCFF414QXU/,/files/ENCFF756OUJ/,/files/ENCFF047WSR/,/files/ENCFF746NGY/,/files/ENCFF375SEL/,/files/ENCFF442PRX/,/files/ENCFF418PUZ/	ENCBS967BUS,ENCBS177FZX	1,2	1
/experiments/ENCSR655JYC/	ENCSR655JYC	NA	/files/ENCFF784MWI/,/files/ENCFF558PGN/,/files/ENCFF071SDF/,/files/ENCFF477PRG/,/files/ENCFF189HHF/,/files/ENCFF231AOQ/,/files/ENCFF345NJJ/,/files/ENCFF575VDI/,/files/ENCFF334XBP/,/files/ENCFF635NDT/,/files/ENCFF856CLV/,/files/ENCFF558KIA/,/files/ENCFF961DCD/,/files/ENCFF584QHD/,/files/ENCFF374YPP/,/files/ENCFF390BZF/,/files/ENCFF690OVO/,/files/ENCFF179QLC/,/files/ENCFF194QGI/,/files/ENCFF985BWJ/,/files/ENCFF666ZTU/,/files/ENCFF601QLC/	ENCBS479HRC,ENCBS865TCO	1,2	1
/experiments/ENCSR898ABR/	ENCSR898ABR	NA	/files/ENCFF092VHP/,/files/ENCFF794EFW/,/files/ENCFF692VVD/,/files/ENCFF951UDW/,/files/ENCFF619SSA/,/files/ENCFF186DAM/,/files/ENCFF600XFG/,/files/ENCFF652GAC/,/files/ENCFF347YPN/,/files/ENCFF583YZJ/,/files/ENCFF686NYL/,/files/ENCFF835LYH/,/files/ENCFF239ZOT/,/files/ENCFF744BJQ/,/files/ENCFF981OYZ/,/files/ENCFF675GRV/,/files/ENCFF077ITH/,/files/ENCFF207BZW/,/files/ENCFF522RPP/,/files/ENCFF071NNQ/,/files/ENCFF543OPZ/,/files/ENCFF243DCK/	ENCBS405CUM,ENCBS131LFM	1,2	1
/experiments/ENCSR936VPP/	ENCSR936VPP	NA	/files/ENCFF002BMA/,/files/ENCFF002BMB/,/files/ENCFF002BMC/,/files/ENCFF002BMD/,/files/ENCFF002BME/,/files/ENCFF002BMF/,/files/ENCFF002BMG/,/files/ENCFF002BMH/,/files/ENCFF002BSK/,/files/ENCFF002BSL/,/files/ENCFF002BYX/,/files/ENCFF002BYY/,/files/ENCFF002BYZ/,/files/ENCFF002BZA/,/files/ENCFF265XKZ/,/files/ENCFF232AKY/,/files/ENCFF383HES/,/files/ENCFF050CVT/,/files/ENCFF914NDQ/,/files/ENCFF142GEG/,/files/ENCFF241YAW/,/files/ENCFF257SJT/,/files/ENCFF848WON/,/files/ENCFF364BIF/,/files/ENCFF691UOW/,/files/ENCFF702ERW/,/files/ENCFF552RGP/,/files/ENCFF337BGK/,/files/ENCFF112SQH/,/files/ENCFF003GNB/,/files/ENCFF785TPR/,/files/ENCFF525TEN/,/files/ENCFF385RSF/,/files/ENCFF496PLT/,/files/ENCFF869OKF/,/files/ENCFF204JSB/,/files/ENCFF020IZH/,/files/ENCFF546ENB/,/files/ENCFF713LGU/,/files/ENCFF117WSG/,/files/ENCFF148WTV/,/files/ENCFF717JPD/,/files/ENCFF670RZP/,/files/ENCFF851GUC/,/files/ENCFF283AIP/,/files/ENCFF421BFS/,/files/ENCFF179KBC/,/files/ENCFF626ING/,/files/ENCFF108SGE/,/files/ENCFF288SJT/,/files/ENCFF146AIC/,/files/ENCFF476UZM/,/files/ENCFF678KJA/,/files/ENCFF577OVP/,/files/ENCFF481QGZ/,/files/ENCFF462DED/,/files/ENCFF143HGI/,/files/ENCFF799JEW/,/files/ENCFF745ZYV/,/files/ENCFF128MTU/,/files/ENCFF045JCM/,/files/ENCFF256QVU/,/files/ENCFF515ZWE/,/files/ENCFF821UBN/,/files/ENCFF632WBF/,/files/ENCFF539GMY/	ENCBS086JQA,ENCBS031YPZ	1,2	1
/experiments/ENCSR260BQC/	ENCSR260BQC	NA	/files/ENCFF475HIX/,/files/ENCFF687PMR/,/files/ENCFF204IKW/,/files/ENCFF860QVJ/,/files/ENCFF404REP/,/files/ENCFF059NNE/,/files/ENCFF700MGE/,/files/ENCFF204NXW/,/files/ENCFF607DWM/,/files/ENCFF022TRZ/,/files/ENCFF087QNU/,/files/ENCFF404VIA/,/files/ENCFF847TVP/,/files/ENCFF621TTB/,/files/ENCFF402VNC/,/files/ENCFF064SGU/,/files/ENCFF493SCU/,/files/ENCFF412EPG/,/files/ENCFF767DNH/,/files/ENCFF549FYG/,/files/ENCFF416LPZ/,/files/ENCFF649OJK/	ENCBS479HRC,ENCBS865TCO	1,2	1
