Accession	Target.gene.symbol	Biological.replicate	ctrl_exp_id
ENCSR577XBW	FXR2	2,1	ENCSR913CAE
ENCSR794NUE	HNRNPA2B1	1,2	ENCSR164MUK
ENCSR563YIS	HNRNPL	2,1	ENCSR031RRO
ENCSR529MBZ	PPIG	2,1	ENCSR032YMP
ENCSR916WOI	TRA2A	2,1	ENCSR129RWD
ENCSR809ISU	AKAP8L	1,2	ENCSR143COQ
ENCSR286OKW	CSTF2T	1,2	ENCSR815CVQ
ENCSR077BPR	ESF1	2,1	ENCSR032YMP
ENCSR341PZW	WDR43	2,1	ENCSR174OYC
ENCSR954HAY	SART3	1,2	ENCSR419JMU
ENCSR188IPO	GTF2F1	1,2	ENCSR815CVQ
ENCSR812EIA	EXOSC9	2,1	ENCSR815CVQ
ENCSR060KRD	TROVE2	1,2	ENCSR092WKG
ENCSR047AJA	SUB1	2,1	ENCSR815CVQ
ENCSR126ARZ	ILF2	1,2	ENCSR419JMU
ENCSR470PRV	HNRNPC	1,2	ENCSR771ZZL
ENCSR792CBM	G3BP1	2,1	ENCSR129RWD
ENCSR481YXD	IGF2BP3	2,1	ENCSR771ZZL
ENCSR529JNJ	HNRNPK	2,1	ENCSR129RWD
ENCSR906RHU	SRSF5	1,2	ENCSR129RWD
ENCSR694LKY	TIA1	2,1	ENCSR129RWD
ENCSR945GUR	NAA15	1,2	ENCSR143COQ
ENCSR165VBD	UTP18	1,2	ENCSR143COQ
ENCSR082UWF	STIP1	1,2	ENCSR419JMU
ENCSR416ZJH	PABPN1	1,2	ENCSR164MUK
ENCSR850PWM	ZRANB2	2,1	ENCSR815CVQ
ENCSR048BWH	HNRNPA1	1,2	ENCSR438MDN
ENCSR453HKS	XPO5	2,1	ENCSR164MUK
ENCSR556FNN	PPIL4	2,1	ENCSR419JMU
ENCSR219DXZ	SBDS	1,2	ENCSR419JMU
ENCSR281IUF	DDX19B	1,2	ENCSR143COQ
ENCSR978CSQ	PKM	2,1	ENCSR438MDN
ENCSR795VAK	CPEB4	1,2	ENCSR031RRO
ENCSR007XKL	NFX1	1,2	ENCSR815CVQ
ENCSR783LUA	PRPF6	1,2	ENCSR815CVQ
ENCSR835RMN	GRSF1	1,2	ENCSR118EFE
ENCSR334BTA	WDR3	1,2	ENCSR174OYC
ENCSR810FHY	UPF2	2,1	ENCSR438MDN
ENCSR155EZL	DDX47	1,2	ENCSR031RRO
ENCSR034VBA	HNRNPUL1	2,1	ENCSR164MUK
ENCSR866XLI	LARP4	2,1	ENCSR164MUK
ENCSR792XFP	MATR3	2,1	ENCSR129RWD
ENCSR047IUS	HNRNPU	1,2	ENCSR438MDN
ENCSR849STR	MAGOH	2,1	ENCSR129RWD
ENCSR973QSV	AATF	1,2	ENCSR815CVQ
ENCSR831YGP	EWSR1	2,1	ENCSR913CAE
ENCSR231DXJ	ATP5F1C	2,1	ENCSR143COQ
ENCSR947OIM	RBM22	1,2	ENCSR129RWD
ENCSR961YAG	EIF4A3	1,2	ENCSR913CAE
ENCSR874ZLI	CCDC124	1,2	ENCSR143COQ
ENCSR902WSK	SSRP1	1,2	ENCSR032YMP
ENCSR546MBH	EIF2S1	1,2	ENCSR913CAE
ENCSR342EDG	U2AF1L5,U2AF1	1,2	ENCSR344XID
ENCSR904BCZ	RAVER1	1,2	ENCSR344XID
ENCSR201WFU	NELFE	1,2	ENCSR129RWD
ENCSR149DMY	RBM25	1,2	ENCSR344XID
ENCSR119QWQ	DDX6	1,2	ENCSR913CAE
ENCSR373KOF	FUBP3	1,2	ENCSR913CAE
ENCSR774BXV	EIF4B	1,2	ENCSR913CAE
ENCSR047EEG	PABPC4	1,2	ENCSR344XID
ENCSR952RRH	IGF2BP2	2,1	ENCSR129RWD
ENCSR067LLB	DDX24	1,2	ENCSR913CAE
ENCSR134JRE	TARDBP	2,1	ENCSR129RWD
ENCSR246SOU	G3BP2	2,1	ENCSR344XID
ENCSR079IPT	TBRG4	1,2	ENCSR344XID
ENCSR310VND	RECQL	2,1	ENCSR344XID
ENCSR904CJQ	U2AF2	2,1	ENCSR344XID
ENCSR000KYM	DDX3X	1,2	ENCSR913CAE
ENCSR256PLH	QKI	1,2	ENCSR344XID
ENCSR778WPL	HNRNPAB	2,1	ENCSR419JMU
ENCSR943LIB	SNRNP200	1,2	ENCSR164MUK
ENCSR361LBE	NCBP2	2,1	ENCSR913CAE
ENCSR056QEW	CIRBP	2,1	ENCSR129RWD
ENCSR527IVX	PTBP1	1,2	ENCSR129RWD
ENCSR936TED	POLR2G	2,1	ENCSR942UNX
ENCSR552NBS	HNRNPA0	1,2	ENCSR419JMU
ENCSR958NDU	HLTF	1,2	ENCSR815CVQ
ENCSR777EDL	STAU1	1,2	ENCSR032YMP
ENCSR754RJA	NUFIP2	2,1	ENCSR174OYC
ENCSR907UTB	DAZAP1	2,1	ENCSR815CVQ
ENCSR076PMZ	EIF2S2	1,2	ENCSR118EFE
ENCSR746NIM	HNRNPM	2,1	ENCSR032YMP
ENCSR473KFO	UTP3	2,1	ENCSR655JYC
ENCSR885YOI	CSTF2	1,2	ENCSR245BNJ
ENCSR016OIX	MARK2	2,1	ENCSR619PCR
ENCSR152IWT	TRIP6	2,1	ENCSR032YMP
ENCSR222COT	MBNL1	2,1	ENCSR143COQ
ENCSR624OUI	AQR	2,1	ENCSR718EWL
ENCSR014VQS	RECQL	1,2	ENCSR942UNX
ENCSR528ASX	GRWD1	1,2	ENCSR572FFX
ENCSR940GIC	CKAP4	1,2	ENCSR898ABR
ENCSR927TSP	TIAL1	2,1	ENCSR572FFX
ENCSR300QFQ	TRIM56	1,2	ENCSR572FFX
ENCSR193CCY	RPS11	1,2	ENCSR774AEQ
ENCSR231PWH	NKRF	2,1	ENCSR619PCR
ENCSR688GVV	FTO	2,1	ENCSR424QCW
ENCSR775TMW	BOP1	1,2	ENCSR424QCW
ENCSR448JAM	ZC3H8	1,2	ENCSR718EWL
ENCSR856CJK	DDX55	2,1	ENCSR572FFX
ENCSR611LQB	PSIP1	1,2	ENCSR572FFX
ENCSR927XBT	NUSAP1	1,2	ENCSR572FFX
ENCSR793QPX	HDGF	1,2	ENCSR619PCR
ENCSR953IQF	NUP35	1,2	ENCSR260BQC
ENCSR608IXR	FUBP1	2,1	ENCSR260BQC
ENCSR629XTS	XPO1	2,1	ENCSR260BQC
ENCSR192BPV	SUGP2	1,2	ENCSR164MUK
ENCSR346DZQ	NPM1	1,2	ENCSR164MUK
ENCSR129ROE	SMN2,SMN1	1,2	ENCSR419JMU
ENCSR952QDQ	METAP2	1,2	ENCSR424QCW
ENCSR338CON	AKAP1	1,2	ENCSR913CAE
ENCSR232CPD	XRCC6	2,1	ENCSR815CVQ
ENCSR678MVE	UCHL5	2,1	ENCSR661HEL
ENCSR925RNE	SERBP1	1,2	ENCSR661HEL
ENCSR233UVM	ABT1	2,1	ENCSR260BQC
ENCSR844QNT	PPP1R8	1,2	ENCSR164MUK
ENCSR949RMX	XRN1	1,2	ENCSR260BQC
ENCSR611ZAL	TAF15	2,1	ENCSR344XID
ENCSR584LDM	DDX27	2,1	ENCSR245BNJ
ENCSR047QHX	SF3B1	1,2	ENCSR424QCW
ENCSR762FEO	LSM11	2,1	ENCSR572FFX
ENCSR169QQW	MSI2	2,1	ENCSR620PUP
ENCSR961WVL	DDX21	2,1	ENCSR129RWD
ENCSR598YQX	LIN28B	1,2	ENCSR572FFX
ENCSR530BOP	SUPT6H	2,1	ENCSR164MUK
ENCSR454KYR	SF3A3	2,1	ENCSR174OYC
ENCSR494UDF	DKC1	2,1	ENCSR143COQ
ENCSR921KDS	RCC2	1,2	ENCSR572FFX
ENCSR558XNA	PUF60	2,1	ENCSR620PUP
ENCSR081XRA	SF3B4	1,2	ENCSR344XID
ENCSR545AIK	PCBP1	2,1	ENCSR129RWD
ENCSR384BDV	CPSF6	1,2	ENCSR424QCW
ENCSR898OPN	RBM17	1,2	ENCSR118EFE
ENCSR770LYW	SAFB2	1,2	ENCSR154OBA
ENCSR891AXF	SSB	1,2	ENCSR084SCN
ENCSR244SIO	KRR1	2,1	ENCSR424QCW
ENCSR555LCE	FMR1	2,1	ENCSR424QCW
ENCSR967QNT	GPKOW	2,1	ENCSR424QCW
ENCSR363QIA	PRPF4	2,1	ENCSR260BQC
ENCSR165BCF	WRN	2,1	ENCSR718EWL
ENCSR813NZP	SRFBP1	2,1	ENCSR572FFX
ENCSR113PYX	CNOT7	1,2	ENCSR419JMU
ENCSR599UDS	AARS	2,1	ENCSR572FFX
ENCSR395FYF	AUH	1,2	ENCSR718EWL
ENCSR678WOA	RBM39	1,2	ENCSR164MUK
ENCSR715XZS	XRCC5	2,1	ENCSR815CVQ
ENCSR717SJA	XRN2	1,2	ENCSR661HEL
ENCSR634KBO	HNRNPC	2,1	ENCSR572FFX
ENCSR778SIU	SUPV3L1	1,2	ENCSR661HEL
ENCSR675KPR	RBM3	1,2	ENCSR936VPP
ENCSR770OWW	LARP7	2,1	ENCSR572FFX
ENCSR137HKS	PRPF8	2,1	ENCSR661HEL
ENCSR398GHW	GEMIN5	1,2	ENCSR661HEL
ENCSR891DYO	PES1	1,2	ENCSR661HEL
ENCSR911DGK	TFIP11	1,2	ENCSR661HEL
ENCSR112YTD	SLBP	2,1	ENCSR667PLJ
ENCSR079LMZ	DNAJC21	1,2	ENCSR667PLJ
ENCSR222LRL	CPSF7	2,1	ENCSR667PLJ
ENCSR306EIU	YBX3	1,2	ENCSR667PLJ
ENCSR207QGW	AGO3	2,1	ENCSR898NWE
ENCSR495YSS	AGO2	2,1	ENCSR898NWE
ENCSR618IQH	PUS1	1,2	ENCSR143COQ
ENCSR227AVS	NOL12	1,2	ENCSR620PUP
ENCSR040FSN	EIF4G2	2,1	ENCSR620PUP
ENCSR101OPF	SUCLG1	2,1	ENCSR620PUP
ENCSR602AWR	TUFM	1,2	ENCSR620PUP
ENCSR648QFY	PCBP2	1,2	ENCSR129RWD
ENCSR984CLJ	CCAR2	2,1	ENCSR620PUP
