GENE_SYMBOL,acnA,ahpC,ahpF,ansB,argF,aroG,asnA,asnB,bcp,cspA,cspC,cspE,cueO,cyoA,cyoB,cyoC,cyoD,dacC,deaD,degP,fbaB,fis,fklB,fkpA,folX,fumA,gdhA,gloA,gpmM,grxB,gshB,hchA,hupA,hupB,iscS,iscU,katE,katG,malT,metH,mltD,msrB,nlpD,nuoB,ompC,ompF,pfkB,poxB,ppiD,purT,pykA,pykF,rhlB,sbp,skp,slyD,smpB,sodA,sodB,speA,speB,speD,stpA,sufA,sufB,sufC,surA,talA,tktB,acnA,ahpC,ahpF,ansB,argF,aroG,asnA,asnB,bcp,cspA,cspC,cspE,cueO,cyoA,cyoB,cyoC,cyoD,dacC,deaD,degP,fbaB,fis,fklB,fkpA,folX,fumA,gdhA,gloA,gpmM,grxB,gshB,hchA,hupA,hupB,iscS,iscU,katE,katG,malT,metH,mltD,msrB,nlpD,nuoB,ompC,ompF,pfkB,poxB,ppiD,purT,pykA,pykF,rhlB,sbp,skp,slyD,smpB,sodA,sodB,speA,speB,speD,stpA,sufA,sufB,sufC,surA,talA,tktB
acnA,-7.0443750759096,-0.149576196020481,-0.722465786426429,-0.584962284316916,0.510194833614789,-0.078609682347778,0.043068861918163,-0.584962284316916,-0.174029237009464,0.174774528912928,-0.330148420324966,-0.400537739147996,0.203533519371801,-0.224214988416068,-0.302926954979985,-0.330148420324966,-0.552540811433522,-0.263034232710399,-0.459431420266743,0.05363810260626,0.105353134255902,-0.536599269889723,-0.935869386586477,-0.263034232710399,-0.536599269889723,0.268488955696806,-0.186412960062145,-1.11365646960585,-1.28950626453624,-0.552540811433522,-0.276209619869845,-0.722465786426429,0.439421764294484,0.825970681607746,-0.474538310568841,-0.758991656347834,-0.935869386586477,-0.686841882501675,-0.400537739147996,-1.13750320635706,-0.474538310568841,-0.618129143219459,-1.72246554838181,-2.45943082515524,-0.854569299607576,0.105353134255902,-0.66935445857089,-0.740613130123465,-0.686841882501675,-0.249978081444623,-0.854569299607576,-0.874468853422075,-0.101879459193413,-1.7589914121995,-0.999999711461021,-0.343954218106079,0.0108884593275,-0.740613130123465,-0.400537739147996,-0.758991656347834,-0.956930998055575,-1.11365646960585,-1.21150377109595,-0.137503365053489,-0.237039027268944,-0.686841882501675,-0.033166716310598,-0.357893407286174,-0.067114044719065,-7.12926281935578,-0.234465083908205,-0.807354669585994,-0.669851168788022,0.425305942167404,-0.163498570701044,-0.04182002718191,-0.669851168788022,-0.258918124731397,0.089885639072428,-0.415037306919518,-0.48542662519295,0.11864462937842,-0.309103875788811,-0.387815841779995,-0.415037306919518,-0.637429696196081,-0.347923119804586,-0.544320305830799,-0.031250786555757,0.020464244797248,-0.621488154793204,-1.02075826744609,-0.347923119804586,-0.621488154793204,0.183600065369136,-0.271301847699038,-1.19854534827178,-1.3743951407495,-0.637429696196081,-0.361098506867771,-0.807354669585994,0.354532873155769,0.741081788953523,-0.559427196006344,-0.843880539137478,-1.02075826744609,-0.771730766013116,-0.48542662519295,-1.22239208470764,-0.559427196006344,-0.703018027385555,-1.80735441711443,-2.54431967465195,-0.939458181383735,0.020464244797248,-0.754243342251911,-0.82550201310041,-0.771730766013116,-0.334866968633335,-0.939458181383735,-0.959357734978646,-0.186768347396544,-1.84388028019228,-1.08488859156032,-0.42884310459494,-0.074000429581149,-0.82550201310041,-0.48542662519295,-0.843880539137478,-1.04181987866921,-1.19854534827178,-1.29639264843412,-0.222392253022036,-0.321927914550493,-0.771730766013116,-0.118055604950166,-0.44278229366729,-0.15200293314561
ahpC,0.264415756341689,-8.25025448851116,-0.437318751301605,0.03394747283773,0.282057626032244,-0.400111389881095,-0.051853226904824,-0.407947883076136,-0.059856248742466,0.105603354508501,-0.12941241730961,-0.199089311373994,0.096215450221091,0.174392901449653,0.75005384535393,-0.107552985718938,-0.084763123528629,0.159092647437434,-0.597453226618337,-0.109468491490952,-0.092951328672871,-0.008315123108579,-0.039626925833583,0.069373840536943,1.44269496959656E-07,0.054053042721119,0.184851047380243,-0.283792790368162,-0.829285305788317,-0.079747230120871,-0.035372082113459,-0.637429696196081,-0.01368607204595,0.196268117078938,-0.212065116060672,-0.415037306919518,-0.608246505053146,-1.00118467641653,-0.723798940505032,-0.739534009110798,-0.689965350951849,-0.381475675195243,-0.717942255318036,-1.91714252272681,-0.601940616930632,0.075007174143793,-0.598349588761205,-0.544665820101513,-0.400111389881095,-0.431716045829412,-0.110107559003157,-0.694750412743997,-0.033552412046954,-1.29464815646006,-0.536911693653944,-0.279473341436346,-0.05738904867023,-0.478808747352824,-0.251707816391458,-0.480460372993681,-0.660647043331532,-0.477983643046723,-1.16416186956672,-0.456694910632285,-0.239770141665756,0.139333052342074,-0.026899856209973,-0.004151498585208,0.121478359050646,0.289506735233665,-8.22516426494036,-0.412227773706934,0.059038451371003,0.30714860494939,-0.375020412200669,-0.026762248520427,-0.382856905413588,-0.034765270372412,0.130694333159497,-0.104321439067623,-0.173998333266639,0.121306428856994,0.199483880208294,0.775144824837795,-0.082462007436036,-0.059672145203726,0.184183626172574,-0.572362249419059,-0.084377513211611,-0.067860350362982,0.016775855352468,-0.014535947427427,0.094464819129148,0.025091122744922,0.079144021288015,0.209942026154804,-0.258701812433477,-0.80419432924512,-0.054656251786813,-0.010281103699774,-0.612338719102547,0.011404906405766,0.221359095870748,-0.186974137979115,-0.389946329273228,-0.583155527882129,-0.976093700432601,-0.698707963650215,-0.71444303230103,-0.664874374001812,-0.35638469747269,-0.692851278446575,-1.89205155115827,-0.576849639743078,0.100098152745236,-0.573258611564265,-0.519574842767017,-0.375020412200669,-0.406625068221686,-0.085016580725005,-0.669659435807291,-0.008461433630055,-1.26955718159927,-0.511820716299999,-0.254382363492608,-0.032298070295746,-0.453717769856423,-0.226616838390171,-0.45536939550125,-0.63555606630077,-0.45289266554834,-1.13907089417824,-0.431603933083155,-0.214679163640065,0.164424031046493,-0.001808877781362,0.020939479883049,0.146569337726942
ahpF,0.007494680068911,0.357552117218668,-23.2534966642115,-0.167109823848456,0.09451773390499,-0.435215186147862,-0.466021228718923,-0.666099034523069,0.136136819264434,-0.053580890476502,-0.308837916738899,-0.497499455796237,0.073249119158082,0.09451773390499,0.497186642845792,-0.365793794354679,-0.690144504642267,-0.030373501704459,-0.218640118598109,-0.13375123060458,-0.365793794354679,-0.263034232710399,-0.337034805042419,0.014950484248154,-0.466021228718923,-0.022719929940595,-0.10114656870973,-0.985049372969677,-1.14201868648459,-0.476437843220213,-0.486930215572725,-1.01510660081398,-0.117356794142434,0.247927634933689,-0.6542249361112,-0.63076596694926,-0.912536887183561,-0.970252373955519,-0.970252373955519,-1.70231898187219,-0.790546384823821,-0.607682357382012,-0.955605600846172,-1.91253661561751,-0.551539287735288,-0.290341575398045,-0.843495255443913,-0.714597544387816,-0.690144504642267,-0.455679285920884,-0.435215186147862,-0.63076596694926,0.101538160926837,-1.26303405958703,-0.777607331344423,-0.375508947931781,0.007494680068911,-0.739472208909455,-0.529679856951224,-0.764783293175505,-1.03037335436541,-0.690144504642267,-1.41503711456022,-0.540568171516167,-0.356143625560322,-0.077167708326068,-0.117356794142434,-0.245112326850463,-0.007533527660573,0.092611285484248,0.442668724405544,-23.2534966642115,-0.081993219490999,0.179634339801651,-0.350098583685717,-0.380904626497982,-0.580982434000526,0.221253425381227,0.031535714583263,-0.223721313339428,-0.412382853827142,0.158365724939773,0.179634339801651,0.582303250627785,-0.280677191367496,-0.605027904340151,0.054743103492193,-0.133523514578124,-0.048634626034997,-0.280677191367496,-0.177917628990976,-0.251918201845023,0.100067089705876,-0.380904626497982,0.062396675300719,-0.016029963937503,-0.899932775692183,-1.05690209108761,-0.391321241082004,-0.401813613518456,-0.929990003880913,-0.032240189470384,0.33304424161127,-0.569108335481153,-0.545649366109408,-0.827420289104083,-0.885135776511081,-0.885135776511081,-1.61720239513194,-0.705429785482846,-0.522565756339016,-0.870489003238163,-1.8274200330965,-0.466422686211569,-0.205224971868147,-0.758378656637404,-0.629480944313662,-0.605027904340151,-0.370562683618392,-0.350098583685717,-0.545649366109408,0.186654766861077,-1.17791746578613,-0.692490731875796,-0.290392345016562,0.092611285484248,-0.654355609071194,-0.444563255245336,-0.679666693581486,-0.94525675761006,-0.605027904340151,-1.32992052296344,-0.455451569900673,-0.271027022502133,0.007948896592299,-0.032240189470384,-0.159995723008588,0.077583077668664
ansB,0.459431723560569,0.321928210302961,0.321928210302961,-2.99999884584443,0.807355004497319,2.00000003606738,0.906890672552252,0.169925129681866,1.32192815259516,0.700439806922323,-0.999999711461021,0.321928210302961,1.00000007213475,0.169925129681866,1.08746290914187,0.459431723560569,0.807355004497319,0.459431723560569,-0.192644913062972,0.807355004497319,0.169925129681866,1.00000007213475,0.584962596900822,0.906890672552252,0.807355004497319,1.16992506556209,0.807355004497319,0.584962596900822,0.169925129681866,0.321928210302961,0.321928210302961,0.169925129681866,1.08746290914187,2.61470986766941,-0.192644913062972,0.459431723560569,1.44269496959656E-07,0.459431723560569,0.459431723560569,-0.192644913062972,-0.67807167428145,1.44269496959656E-07,-0.192644913062972,-0.192644913062972,1.44269496959656E-07,1.16992506556209,-0.192644913062972,1.44269496959656E-07,0.321928210302961,-0.415037306919518,0.321928210302961,-0.999999711461021,1.16992506556209,-0.192644913062972,0.459431723560569,1.44269496959656E-07,0.807355004497319,-0.999999711461021,1.44269496959656E-07,0.169925129681866,-0.415037306919518,0.169925129681866,-0.192644913062972,0.459431723560569,-0.999999711461021,-0.192644913062972,0.459431723560569,-0.67807167428145,0.459431723560569,0.652076788387556,0.514573273818408,0.514573273818408,-2.80735391217143,1.00000007213475,2.19264510950135,1.09953574087668,0.362570191594318,1.51457322332408,0.893084873767065,-0.807354669585994,0.514573273818408,1.1926451410603,0.362570191594318,1.28010797859782,0.652076788387556,1.00000007213475,0.652076788387556,1.44269496959656E-07,1.00000007213475,0.362570191594318,1.1926451410603,0.77760766282076,1.09953574087668,1.00000007213475,1.36257013548951,1.00000007213475,0.77760766282076,0.362570191594318,0.514573273818408,0.514573273818408,0.362570191594318,1.28010797859782,2.80735494266753,1.44269496959656E-07,0.652076788387556,0.192645204178206,0.652076788387556,0.652076788387556,1.44269496959656E-07,-0.48542662519295,0.192645204178206,1.44269496959656E-07,1.44269496959656E-07,0.192645204178206,1.36257013548951,1.44269496959656E-07,0.192645204178206,0.514573273818408,-0.222392253022037,0.514573273818408,-0.807354669585994,1.36257013548951,1.44269496959656E-07,0.652076788387556,0.192645204178206,1.00000007213475,-0.807354669585994,0.192645204178206,0.362570191594318,-0.222392253022037,0.362570191594318,1.44269496959656E-07,0.652076788387556,-0.807354669585994,1.44269496959656E-07,0.652076788387556,-0.48542662519295,0.652076788387556
argF,-2.01435471012839,0.245670484664714,-0.781694288166052,-0.265893886506141,-7.6581823406063,-1.51865971698512,-0.592122074813145,-0.581395669831055,-0.158365434660644,-0.095968904337927,-0.291889091885142,-0.309483149732754,0.106660241972519,0.17467865923066,-0.641402970027113,0.313332187304311,0.007124577992191,0.132951537371795,-0.781694288166052,-0.007159646585611,-0.186536104177,-0.092157290794749,-0.340798686275716,-0.166358224519686,-0.498339942180134,0.521697707754308,-0.549686814796541,-1.02885456830414,-0.721573305851776,0.158772269738347,-0.544469106287894,-1.0143550015527,-0.635843445550744,-1.04350134126478,-0.257331874029148,-0.458538939667554,-0.957771484394962,-1.0508808701054,-0.410283777581644,-2.3914241851106,-0.692426964950208,-0.150416682429812,-1.38208670144612,-2.85085551989314,0.100011866582036,0.51421612690734,-1.18247772434229,-0.930290753259944,-0.6638578173248,-0.300659300435918,-0.405545859203593,-0.838032262438933,0.353015885626648,-1.44875772330614,-0.769467987925794,-0.560179187072745,-1.19060560337573,-0.876851504295888,-0.850856300493859,-0.812721178394922,-1.36359036261894,-0.950852071795917,-1.3544303656831,-0.345328344181666,-0.391424752820284,-0.21526781941779,0.304684639388827,-0.219419462205591,0.145919668822747,-1.88752473694452,0.372500496659773,-0.654864286803601,-0.139063878869357,-7.53135477090493,-1.39182972953802,-0.465292070880507,-0.454565665762841,-0.031535425975334,0.030861104920935,-0.165059084513789,-0.182653142543782,0.233490252931765,0.301508670709206,-0.514572966730482,0.440162199768553,0.133954588145992,0.259781548534675,-0.654864286803601,0.119670363447975,-0.059706095758877,0.034672718498352,-0.213968679416918,-0.039528215909655,-0.37150993709557,0.648527721532613,-0.422856810333386,-0.9020245708422,-0.594743303637364,0.285602281097637,-0.417639101760579,-0.88752500384303,-0.50901344218127,-0.916671344055638,-0.130501866305981,-0.331708934116298,-0.83094148574199,-0.924050873024592,-0.283453771481565,-2.26459422657851,-0.565596962335375,-0.023586673670051,-1.25525671085685,-2.7240255852498,0.226841877489199,0.641046140641674,-1.0556477296639,-0.803460754162019,-0.537027814325248,-0.1738292931552,-0.27871585305061,-0.711202261907708,0.479845898356001,-1.32192773421365,-0.642637986387199,-0.433349182739315,-1.06377560885303,-0.750021504356598,-0.724026300156422,-0.685891177486232,-1.23676037162653,-0.82402207303011,-1.22760037449294,-0.218498337371223,-0.264594746510653,-0.088437811277602,0.431514651794324,-0.092589454106024,0.272749680084711
aroG,-0.311598737980996,-0.128523463748858,-0.757123094009195,-0.445380530352589,0.08198560888075,-4.27826794158472,-0.03180403716473,-0.684089478418682,-0.07633519251174,0.007131621455092,-0.264464768145091,-0.109887748643741,-0.299230182079057,-0.11452415826332,0.535017236413744,0.04504403402776,-0.13322024993598,0.001429262659456,-0.670371199364556,-0.106805066091864,-0.089967056655438,-0.39939433124148,-0.38438566686596,-0.008604423361652,-0.254196433920307,0.036704733925666,0.133729179172867,-8.39369943655796,-1.38999544542562,-0.111431563542389,-0.550350075127873,-0.836603144161477,0.125888426672292,0.473530885227333,-0.546168348055408,-0.422204211117139,-1.1681385001605,-0.959119450270797,-0.577830807487015,-1.49087001980167,-0.80628269817679,-0.158531335664708,-0.992868234986813,-1.96190160938157,-0.182670686533144,0.426431111380963,-0.859769124570051,-0.582105461948358,-0.616766464143276,-0.517230805340883,-0.336658583990745,-1.18429426490059,0.07657211320679,-1.90724755540512,-0.801290669704483,-0.39939433124148,-0.327658586872801,-0.679502209658891,-0.264464768145091,-0.97028155437963,-1.1114314076881,-0.517230805340883,-1.57356856656616,-0.509068436552428,-0.70026076647699,-0.254196433920307,-0.152161811498348,-0.437613648363652,-0.045019655311668,-0.176809346134466,0.006265930001017,-0.62233370794104,-0.310591140057875,0.216775004540531,-4.14347878346415,0.102985357497321,-0.549300091276922,0.058454201737919,0.141921016467431,-0.129675375785213,0.024901645286679,-0.16444079009619,0.0202652356224,0.669806635349908,0.179833429372216,0.001569143768023,0.136218657621081,-0.535581812027128,0.027984327868197,0.044822337465415,-0.264604940397038,-0.249596275845861,0.126184971510253,-0.119407041450802,0.171494129197816,0.268518575260963,-8.25891435668669,-1.25520607133363,0.023357830373163,-0.415560686155621,-0.701813759325133,0.260677822696469,0.608320283776809,-0.411378959028612,-0.28741482054318,-1.03334912126134,-0.824330067471303,-0.443041418877168,-1.35608064815217,-0.671493312862506,-0.023741942210498,-0.858078852779457,-1.82711225169649,-0.047881293321281,0.561220509622877,-0.724979740105701,-0.447316073395507,-0.481977076058861,-0.382441415940942,-0.201869192424053,-1.04950488632708,0.211361508820866,-1.77245819585638,-0.666501284312469,-0.264604940397038,-0.192869195205048,-0.544712822451494,-0.129675375785213,-0.835492171774449,-0.976642027674316,-0.382441415940942,-1.43877919705046,-0.374279047048579,-0.565471379568288,-0.119407041450802,-0.017372417980865,-0.302824257974858,0.089769739229322
asnA,-1.57031529632011,0.192645204178207,0.106389478605349,-0.683972274775104,1.44269496959656E-07,-0.405256287426658,-5.61470277492683,0.599609371893712,0.014646918776631,-0.213830240514556,0.014646918776631,0.456752623559712,-0.329307443991287,-0.495768567961335,-0.007379385356257,0.751612455817947,0.803142753451456,0.199071472776592,-0.660513305689457,0.057715636468157,0.292180869313401,1.20546918085932,0.146841518637205,0.550197181085991,0.160077344603872,0.402098552748264,0.637955681045932,0.146841518637205,-0.85982208012933,0.440572697689823,-0.007379385356257,-0.347923119804586,-0.205318741643264,0.356833822492224,0.113210743829225,-0.683972274775104,-0.18008145302865,0.333657501950529,0.218180294070681,-0.833349873528546,-0.231005382318874,0.734018396854587,-0.495768567961335,-0.444784646306084,-0.138976254290264,0.912767238576142,-0.01479685617127,-0.196857163867783,0.390914815105213,-0.114863800806471,-0.329307443991287,-1.01479671041447,0.292180869313401,-0.807354669585994,-0.196857163867783,-0.099009851313017,-0.914269854081615,0.179706149607968,0.57511481160324,-0.106915048549362,-0.570315510538416,-0.029747196118941,-0.914269854081615,0.036341987744424,-0.147104134276159,0.092649423261471,0.205469243418659,-0.310928916970884,0.327804776170461,-1.58496206791271,0.177998429501926,0.091742704008431,-0.698619048374433,-0.014646630222767,-0.419903061441471,-5.62934947875683,0.584962596900823,1.44269496959656E-07,-0.228477014771626,1.44269496959656E-07,0.442105848667947,-0.343954218106079,-0.510415341849917,-0.022026159840972,0.736965680727906,0.788495978330736,0.184424698094586,-0.675160079326932,0.043068861918163,0.277534094551245,1.19082240553328,0.132194744002476,0.535550406126952,0.145430569957,0.387451777897912,0.62330890602756,0.132194744002476,-0.874468853422074,0.425925922810154,-0.022026159840972,-0.362569893895358,-0.219965515910378,0.34218704767738,0.098563969225856,-0.698619048374433,-0.194728227325196,0.319010727154302,0.203533519371801,-0.847996646869866,-0.245652156555497,0.719371621775275,-0.510415341849917,-0.459431420266743,-0.15362302863366,0.898120463393689,-0.029443630648357,-0.211503938144822,0.376268040263532,-0.129510575176734,-0.343954218106079,-1.02944348340425,0.277534094551245,-0.822001442974155,-0.211503938144822,-0.113656625700702,-0.928916627271603,0.165059374943292,0.560468036626986,-0.121561822928385,-0.584962284316916,-0.044393970580535,-0.928916627271603,0.02169521321554,-0.161750908610396,0.078002648677639,0.190822468730979,-0.325575691109089,0.313158001378983
asnB,-0.621488154793204,-0.334866968633335,-0.900464057146037,-0.361098506867771,0.254421396473575,-0.736965353717053,1.89030775032954,-7.12926281935578,-0.084888744573411,-0.031250786555757,-0.283792790368162,-0.129282859150205,0.060541680275665,0.020464244797248,1.01537529725699,0.201633986621388,-0.210419612746988,0.263034526058376,-0.456857476956518,0.010268478700136,1.44269496959656E-07,-0.529369966533827,-0.387815841779995,0.08017048515513,-0.44278229366729,0.137503654904024,0.08017048515513,-0.401362371837152,-1.19854534827178,-0.140598171135561,-0.387815841779995,-0.807354669585994,0.040642124759357,0.716207121815626,-0.703018027385555,-0.271301847699038,-0.881355237741793,-0.919829378373738,-0.471071334215655,-1.34792293618889,-0.653549359037793,-0.283792790368162,-1.08488859156032,-1.77173051969939,0.070389465290919,0.425305942167404,-0.8624962139419,-0.637429696196081,-0.807354669585994,-0.456857476956518,-0.321927914550493,-1.24663962524875,0.354532873155769,-1.6374294717769,-0.686339288938434,-0.347923119804586,-0.471071334215655,-0.754243342251911,-0.140598171135561,-0.789432764705665,-1.08488859156032,-0.754243342251911,-1.54432009543782,-0.15200293314561,-0.590123988657053,-0.401362371837152,-0.258918124731397,-0.347923119804586,-0.106915048549362,-0.662130132949034,-0.375508947931781,-0.94110603394901,-0.401740486070824,0.213779415431786,-0.777607331344423,1.8496657669441,-7.1699042267833,-0.125530724698954,-0.071892766840855,-0.324434769847439,-0.169924839139129,0.019899699730907,-0.020177735636169,0.974733314798786,0.160992005708377,-0.251061592475095,0.222392544996018,-0.497499455796237,-0.030373501704459,-0.040641836105864,-0.570011945081916,-0.428457820884089,0.039528504556959,-0.483424272561937,0.096861674153937,0.039528504556959,-0.442004350890366,-1.23918732330883,-0.181240151088986,-0.428457820884089,-0.847996646869866,1.44269496959656E-07,0.675565139827315,-0.743660005172693,-0.311943827221574,-0.921997214646008,-0.960471355072733,-0.511713312999358,-1.38856491019391,-0.694191337051118,-0.324434769847439,-1.12553056731407,-1.81237249012167,0.029747484719274,0.384663960739622,-0.903138190944727,-0.67807167428145,-0.847996646869866,-0.497499455796237,-0.362569893895358,-1.28728159996511,0.313890891882323,-1.6780714434503,-0.7269812668027,-0.388565099055769,-0.511713312999358,-0.794885319796511,-0.181240151088986,-0.830074742078592,-1.12553056731407,-0.794885319796511,-1.58496206791271,-0.192644913062972,-0.63076596694926,-0.442004350890366,-0.299560104296452,-0.388565099055769,-0.147557028607647
bcp,-0.181838159336833,-0.703606762266602,-0.827265208990755,-0.394097971998903,0.138653670835614,-0.914026505043504,-0.613721272941208,-0.861346198114815,-23.2534966642115,0.046693375122969,-0.313253582065699,-0.164004868259944,-0.132450137882086,-0.538269055760729,0.548653035650865,-0.799466761532298,-0.510961713693351,0.138653670835614,-0.799466761532298,-0.377562606433145,0.12711205000553,1.44269496959656E-07,-0.623436426282789,-0.321137180159308,-0.662964784295733,-0.009522628893583,-0.156932820374851,-0.266835802413465,-1.17467820573529,-0.394097971998903,-0.128986282957751,-0.838536319318088,-0.381678714369871,0.374124417327328,-0.196265228327399,-0.054812734773141,-0.693338428479109,-0.713948704797751,-0.745426931050842,-1.17467820573529,-0.542870957050369,-0.321137180159308,-0.510961713693351,-2.2479268281636,-0.006341381968781,-0.389946329273227,-0.146389327304605,-0.171111753955989,-0.932022930925049,-0.225559531730797,-0.185431423652739,-0.761427407047195,-0.153409754203466,-1.53826884624837,-0.849896179443207,-0.648014445184675,-0.78849564561353,-0.719147610617761,-0.385806599453973,-0.608888119943597,-0.777607331344423,-0.962525013440792,-0.83288975718471,-0.289858017537145,-0.556765396674733,-0.377562606433145,-0.071338630137566,-0.289858017537145,-0.341036735093707,-0.133582996112802,-0.655351601388103,-0.779010048803931,-0.345842809628115,0.186908835131993,-0.865771345378606,-0.565466111595874,-0.813091038129276,-23.2534966642115,0.09494853913562,-0.264998419355051,-0.11574970496978,-0.08419497447689,-0.490013894045362,0.596908201013645,-0.75121160118478,-0.462706551848762,0.186908835131993,-0.75121160118478,-0.329307443991287,0.175367214267284,0.048255308131011,-0.575181264986522,-0.27288201748097,-0.614709623202547,0.038732534936503,-0.108677657058687,-0.218580639516119,-1.12642304784115,-0.345842809628115,-0.08073111954008,-0.790281159197307,-0.333423551945628,0.422379582272887,-0.14801006515747,-0.006557571095402,-0.645083267545797,-0.665693543974854,-0.697171770399659,-1.12642304784115,-0.494615795357021,-0.27288201748097,-0.462706551848762,-2.19967168209848,0.041913781871827,-0.341691166884519,-0.098134163949914,-0.122856590692082,-0.883767771372398,-0.177304368672403,-0.137176260442132,-0.71317224648474,-0.105154590874397,-1.49001369142486,-0.801641019389512,-0.599759284014025,-0.740240485203438,-0.670892449822967,-0.337551437047446,-0.560632958573975,-0.729352170872699,-0.914269854081615,-0.784634597030779,-0.241602854731646,-0.508510235048293,-0.329307443991287,-0.023083466516617,-0.241602854731646,-0.292781572497714
cspA,0.239959823460642,0.397533342539403,0.44888217351909,-0.533422301242917,1.44269496959656E-07,0.900346041713887,1.19996795717928,-0.001104945709136,0.256391252982644,-5.56085544072087,0.937926967925531,1.26192937590296,-0.198231653570988,-0.362727712071459,0.436419379209988,1.09511029270272,0.985939327648127,-0.434064302452229,0.039946426068863,0.044238035284414,0.716943378505806,0.987797273774963,0.722309887929737,0.86540258296999,0.369020099023156,-0.091980477211445,0.80746020703198,0.376981384111088,-0.952907828300618,0.596941324078086,0.022288643483926,-0.059768331852693,0.173276149029719,0.090276050140193,0.241206481493523,0.332932801614754,-0.267902972886429,0.790742322610904,-0.301998095056298,-0.043358716947839,-0.362727712071459,0.945021103255706,-0.105386320088144,-0.294752907884569,0.083341670507519,1.13086031599903,0.252687284529713,-0.049823948055553,0.316468201511667,0.026994464664836,-0.042220795322701,-0.631550137097874,-0.081422695450025,-1.1693724491866,-0.383712734482705,0.343128567914032,0.550430669010645,-0.174765869590227,0.660055152977126,-0.389007033460204,-0.437550878953308,0.631579211997022,-0.551657348558787,-0.234161873900086,-0.645306568537163,-0.037678062965079,-0.024509547682724,-0.418232101348005,0.582997406820495,0.313224142120531,0.470797661825162,0.522146492994472,-0.460157986873347,0.073264461834778,0.973610362595484,1.27323227877861,0.072159371850671,0.329655571711036,-5.48759145321876,1.01119128890554,1.33519369763301,-0.124967337057885,-0.289463396548186,0.509683698639966,1.16837461406764,1.05920364875018,-0.360799987394566,0.113210743829224,0.117502353065415,0.790207698868592,1.06106159488166,0.79557420830866,0.938666903757757,0.442284418200668,-0.018716160116439,0.880724527659064,0.450245703319039,-0.879643517420026,0.670205644063915,0.095552961158721,0.013495985410429,0.246540467403455,0.163540368138778,0.314470800158636,0.406197120652162,-0.194638656778828,0.864006643190414,-0.22873377915439,0.029905600399492,-0.289463396548186,1.018285424254,-0.032122003064217,-0.221488591938544,0.156605988473773,1.20412463744579,0.32595160324273,0.023440369258714,0.389732520483981,0.100258782362537,0.031043522030434,-0.558285823456017,-0.008158378299504,-1.09610814054456,-0.310448419094018,0.416392886991381,0.623694988841731,-0.101501552944897,0.733319473165118,-0.315742718105783,-0.364286563918998,0.704843532094896,-0.47839303432073,-0.160897557593658,-0.572042255001336,0.035586254411181,0.048754769760161,-0.34496778618501,0.656261726760455
